author,published_at,updated_at,like_count,text
@Mustang_Sally_,2024-06-18T03:43:41Z,2024-06-18T03:43:41Z,1,LOLLL i love how serious you were about this but c&#39;monnn shit&#39;s so funny
@TheGrayMysterious,2024-06-16T02:55:53Z,2024-06-16T02:55:53Z,2,this album is the spiritual personification of what happens when your friend asks you to pass the AUX cord.
@user-zg1lr3oq6f,2024-06-14T00:50:16Z,2024-06-14T00:50:16Z,1,goated album not even TPAB could make Anthony go insane
@Genericcritic47-qc8jj,2024-06-11T17:01:06Z,2024-06-11T17:01:06Z,1,I think melons mental health is on a decline.
@kr1stinabee,2024-06-11T12:34:02Z,2024-06-11T12:34:43Z,1,if this album was called Angelic 2 The Butterfly you still would have hated it because its a bad album
@YouTubeHistoricalArchive,2024-06-10T01:53:08Z,2024-06-10T01:53:08Z,1,As a producer this album is a big source of motivation for me. Motivation to not ever make an album this horrible
@stephenbusby424,2024-06-07T16:19:14Z,2024-06-07T16:22:15Z,1,"What confuses me about Corey is that he clearly wants to be respected as a music artist in his own right, yet he sounds like he is doing a bad impression of Michael Jackson in the majority is his songs. <br><br>It’s difficult for me to take him seriously when he releases an album like this which sounds and looks like it was produced by a 5-year old. The album cover alone looks like something a child would throw together in an hour using Paint."
@cvspvr,2024-06-07T00:06:31Z,2024-06-07T00:06:31Z,1,"man, i&#39;ve definitely heard that synth bit before, but i can&#39;t remember what don&#39;t it&#39;s from"
@hollycardinal5294,2024-06-06T06:17:02Z,2024-06-06T06:17:02Z,1,"honestly it sounds like cocaine, like, i dont know how else Corey Feldman could make it. A surprising number of those tracks where there&#39;s 20 instruments laid over each other, if he just turned those individual melodies into songs they&#39;d probably be at least passable (or at least Just derivative and dull) songs, or that one EDM track that actually kinda banged until it randomly turned into a Funky Town bootleg? Or pulled the Party Rock Anthem synth track?<br><br>This sounds like something made on a coke bender surrounded by people who are paid too much to tell him no. It&#39;d also explain the absolutely bonkers genre switches, beyond what Melon said about this just being every bad idea Feldman&#39;s ever had, which is likely also true."
@_owl_,2024-06-05T03:24:03Z,2024-06-05T03:24:03Z,1,I feel like if the album had a smell it wouldn’t smell SO bad but it would smell musty
@MyoticTesseract,2024-06-04T20:58:02Z,2024-06-04T20:58:02Z,1,one of my favorite things that fantano gets hung up on is the fact that the skits are trying to do both charlie&#39;s angels and batman at the same time<br>it&#39;s such an inane criticism yet against even more inane music<br>corey truly boggled this man&#39;s mind
@rhyses_,2024-06-04T16:34:51Z,2024-06-04T16:34:51Z,1,could you imagine if bowie released this instead of blackstar
@KenCriswell,2024-05-31T15:51:33Z,2024-05-31T15:51:33Z,1,"I just can&#39;t laugh at Corey. I mean especially after knowing what Corey said about his music. He knows he doesn&#39;t have a good voice. It&#39;s just dun for him. What I find WAAAAAY MORE pathetic, are the people that will just make videos just to mk fun of Corey. Now thats pathetic and sad.    Gotta respect Corey also for not caring what idiots say. He&#39;s having fun and that&#39;s all that matters to him.  If you had gone through even some of the shit he went through as a kid....most would&#39;ve already checked out of this life long ago. <br>I just can&#39;t make fun of a person that does something cause they enjoy doing it. Especially when they know they aren&#39;t really that good. So to mk fun of a guy for being bad even after he told you its not that good......is pretty shitty and says alot about that person&#39;s character.  Its all unfortunate...."
@Cdr2002,2024-05-31T15:18:38Z,2024-05-31T15:18:38Z,1,"<a href=""https://www.youtube.com/watch?v=L3E0kq9YkjA&amp;t=769"">12:49</a> Oscar the Grouch’s guest number during a crossover episode with Yo Gabba Gabba <br><br>That’s the vibe"
@Cdr2002,2024-05-31T15:17:15Z,2024-05-31T15:17:15Z,4,It sounds so 80s in all the wrong ways
@Cdr2002,2024-05-31T15:14:50Z,2024-05-31T15:14:50Z,1,These genuinely sound like kids show musical numbers
@Royrodgerz,2024-05-29T19:56:11Z,2024-05-29T19:56:11Z,2,Why did no one tell him how awful this was during the recording of this album??!! 😂😂
@alexdoe8112,2024-05-26T09:25:18Z,2024-05-26T09:25:18Z,3,Just jooked on Feldmans wiki to see what the &quot;Corey&#39;s angels&quot; thing was based on and HOLY SHIT WTF EW
@nickmitchell1147,2024-05-26T04:24:29Z,2024-05-26T04:24:29Z,4,I didn&#39;t realize they released the Amazing Spider-Man 2 soundtrack as an album.
@brycecolwell4304,2024-05-24T03:53:36Z,2024-05-24T03:53:36Z,3,"it has to be one massive troll. How could he possibly be serious? its complete noise, just absolute trash. I would be SO ashamed. the shock value keeps me coming back, so maybe that is th epoint. if you have zero talent, act like you believe you do as the only way to have any kind of relevance? its perplexing."
@MelonAsylum,2024-05-23T16:37:31Z,2024-05-23T16:37:31Z,2,Came here after watching The Masked Singer Season 11.
@violetrogers3755,2024-05-22T01:42:42Z,2024-05-22T02:03:20Z,1,"I own a signed physical copy of this album. On the shelf in my bedroom with random Internet collectibles, it’s one of the showpieces. Now that you can’t listen to this album on streaming anymore, I feel like I own a small piece of the Holy Grail."
@noneofmybusiness9895,2024-05-18T18:19:53Z,2024-05-18T18:19:53Z,2,Each of his songs sounds like there&#39;s 3 people in the same room listening to three different songs at the same time.  Each of these songs are different genres and are playing at different beats/time signatures.  It sounds like a mess and it&#39;s exhausting to listen to.  I&#39;d imagine you have to have a considerable amount of molly onboard to think this noise sounds like music.
@WestPictures,2024-05-17T20:26:45Z,2024-05-17T20:26:45Z,3,I cannot wait until we get Angelic 3 The Core
@jonw3462,2024-05-14T23:25:03Z,2024-05-14T23:27:15Z,0,"<a href=""https://www.youtube.com/watch?v=L3E0kq9YkjA&amp;t=2020"">33:40</a> sums up the whole album just🤤😨😰😖😞😭"
@busdrummer,2024-05-14T02:08:27Z,2024-05-14T02:08:53Z,2,"If JEREMY DEWITTE and STEVEN SEAGAL had a love child out of wedlock, in their 70s.. you would get corey feldman.  Checkmate"
@user-te6iu3oe7e,2024-05-13T00:42:13Z,2024-05-13T00:42:13Z,1,just seen this after some person on another clip implored the watcher to watch...well. Funny is putting it mildly. A pretty dull day has been replaced with this comedy gold review of the worst music known to man. Thank you...got to watch again for your laugh...superb...deffo an album to send to someone you really do not like.
@redcomet_622,2024-05-12T09:10:21Z,2024-05-12T09:11:00Z,1,I listened to this album fully yesterday and there&#39;s some stuff that Anthony should&#39;ve mentioned here. Mainly how most of the songs go into completely different directions like &quot;Break Free&quot; suddenly turns into a metal song. &quot;Mercy&quot; goes from a slow jam to a church choir song.
@michaelsegura8365,2024-05-10T19:28:33Z,2024-05-10T19:28:33Z,3,Y’all bullied this man so hard he deleted all copies of this album.
@ch0kevonlouis400,2024-05-10T00:12:33Z,2024-05-10T00:12:33Z,1,this is one of my favorite videos on youtube
@icykazuha4451,2024-05-08T20:01:26Z,2024-05-08T20:01:26Z,2,Better than tpab
@ForeverForty,2024-05-06T18:19:51Z,2024-05-06T18:19:51Z,1,I thoroughly enjoyed this review than the entire Corey Feldman&#39;s discography and existence combined lol
@MrBumpy2013,2024-05-04T15:36:19Z,2024-05-04T15:36:19Z,0,"It&#39;s actually the worst album ever, not just for the year. Come on, give it it&#39;s dues."
@beabeeadultstar1433,2024-05-03T18:35:05Z,2024-05-03T18:40:50Z,1,"I laughed, cried and nearly died listening to this album, what a rollercoaster. May god bless Corey"
@chriskozak7356,2024-04-30T01:19:07Z,2024-04-30T01:19:07Z,0,I come back at least every 6 months for this. One of the greatest YT videos ever.
@Mizzkuntsmellzwrong,2024-04-23T20:51:34Z,2024-04-23T20:51:34Z,1,Corey is a beast bro. Original drill artist.
@estelleaeon,2024-04-18T02:38:08Z,2024-04-18T02:38:23Z,1,one of the crazy things after all these years (remember the day was uploaded) is his take on Lil Peep&#39;s Hellboy being Brokencyde quality!!! :-O
@DJREZEREKT,2024-04-15T11:08:22Z,2024-04-15T11:08:22Z,1,Guy has the worst voice ever but insists on being a singer lol he just won&#39;t give this shit up
@tonesdad0408,2024-04-14T19:58:59Z,2024-04-14T19:58:59Z,0,I&#39;ve heard better vocals on LuLu
@stevewodell6183,2024-04-13T20:33:03Z,2024-04-13T20:33:03Z,0,He knows he is awful. Since he can&#39;t   make something good his does this. ....and we are talking about it..
@thewrongmelonfarmer3673,2024-04-13T05:22:34Z,2024-04-13T05:22:34Z,0,I&#39;m seeing him live in August along with Limp Bizkit and BONES..what have I signed up for? A great time 😂
@Luxcy,2024-04-11T18:11:17Z,2024-04-11T18:11:17Z,1,Corey Feldman is a long way from Super Robot Monkey Team Hyperforce Go
@dreamsister6339,2024-04-11T06:49:19Z,2024-04-11T06:49:19Z,0,😂😂😂
@ipsW,2024-04-10T21:21:13Z,2024-04-10T21:21:13Z,0,I watched this too many times.
@illhitu4034,2024-04-10T14:17:44Z,2024-04-10T14:17:44Z,0,Fantano is what idubbbz could have been
@mitotakyrah9244,2024-04-10T12:36:24Z,2024-04-10T12:36:24Z,0,I don&#39;t think he listens to his own music
@mitotakyrah9244,2024-04-09T19:31:44Z,2024-04-09T19:31:44Z,2,All of us from Justin David 🙋🙋🙋🙋 let&#39;s gather here
@Joy_ffa1bd,2024-04-08T20:10:59Z,2024-04-08T20:10:59Z,0,"<a href=""https://www.youtube.com/watch?v=L3E0kq9YkjA&amp;t=2134"">35:34</a>"
@turg993,2024-04-08T01:57:11Z,2024-04-08T01:57:11Z,0,"&quot;Play it again, Sam! Wow, that Jazz certainly does swing!&quot; 😂😂😂😂💀💀💀💀"
@averyorsini6600,2024-04-06T17:02:56Z,2024-04-06T17:02:56Z,0,"<a href=""https://www.youtube.com/watch?v=L3E0kq9YkjA&amp;t=2345"">39:05</a> nooo Cory, don&#39;t sample my favorite 80s movie, lostboys doesn&#39;t deserve that."
@stephenrea3537,2024-04-06T06:02:13Z,2024-04-06T06:02:13Z,0,This is an excellent companion piece to the Bonfire takedowns of Feldog and this album
@hayleybourgault4114,2024-04-04T20:40:31Z,2024-04-04T20:40:31Z,0,Does he really think this is good music. It sucks.
@iThinkItsGroovy,2024-04-04T07:03:41Z,2024-04-04T07:03:41Z,0,Ascension Millennium is Corey&#39;s answer to Temporary Secretary by Paul McCartney - in all the best ways
@lichtfilme,2024-04-03T12:35:17Z,2024-04-03T12:35:17Z,1,I’m back 😄😄
@Whalelaydee,2024-04-03T01:34:40Z,2024-04-03T01:34:40Z,0,"i know if i heard this when i was 12 in my scene phase, i would&#39;ve said &quot;aw yeah, better than that justin beiber crap!&quot;"
@nzingahendricks4128,2024-03-27T20:17:33Z,2024-03-27T20:17:33Z,2,"Before Hardy’s the mockingbird and the crow, there was Corey Feldman’s angelic to the core. Respect your elders kids"
@scottv9479,2024-03-27T05:15:36Z,2024-03-27T05:38:59Z,0,"Track 2 tried to rip off that beat in the old six flags commercials with old dude dancing hahaha.....and the rest of this masterpiece sounds like he used a bunch of jackie Moon&#39;s left over beats from the  &quot;Love Me Sexy&quot; sessions that didn&#39;t make the cut......which is nice. Not to mention,  Jackie Moon was actually in the studio with Corey throughout the entirety of the recording of the smash hit &quot; Angelic to the Core&quot;"
@BAJF93,2024-03-25T21:10:57Z,2024-03-25T21:10:57Z,5,You can&#39;t even buy this album anymore :(
@MagnusMFX,2024-03-25T16:27:01Z,2024-03-25T16:27:01Z,0,"<a href=""https://www.youtube.com/watch?v=L3E0kq9YkjA&amp;t=562"">9:22</a> like Guilty Eyes Fever or some shizz"
@changowowowoezzy9617,2024-03-25T09:50:36Z,2024-03-25T09:50:36Z,2,I like die antword
@marcsibony9253,2024-03-24T08:49:43Z,2024-03-24T08:50:23Z,6,It has to be performance art. It&#39;s so bad that I think the actual musicians that are doing guest spots on the album would otherwise sound ok themselves.  They all sound so bad I&#39;m thinking that they must be doing it on purpose. As a spoof album it&#39;s actually succeeding.  That&#39;s the only way my brain can make sense of it. It&#39;s impossible that no one around him during the production of this album would say &quot;hey dude.... this is revolting music.
@user-joymarcy,2024-03-24T07:53:20Z,2024-03-24T07:53:20Z,1,Hey if yyou  marry my neice please send me an invite or at least lemme know shes a sweetie
@pentexsucks43,2024-03-23T02:57:24Z,2024-06-01T08:03:51Z,6,"Completely wiped from streaming, piracy is the only way now LMAO"
@bettym.3996,2024-03-23T01:43:46Z,2024-03-23T01:43:46Z,0,Space Pants.
@Tempernal,2024-03-22T16:27:51Z,2024-03-22T16:27:51Z,0,"<a href=""https://www.youtube.com/watch?v=L3E0kq9YkjA&amp;t=2047"">34:07</a> my favorite thing about this whole video is that it was uploaded in Late September. That had to be deliberate, right?"
@lilpukey,2024-03-21T22:10:35Z,2024-03-21T22:10:35Z,1,Nice wonderbra sister
@edoardobrunomazzitelli717,2024-03-21T21:34:44Z,2024-03-21T21:34:44Z,3,this album is what people who hate trout mask replica hear when they listen to trout mask replica
@Appellonia,2024-03-21T07:42:20Z,2024-03-21T07:44:04Z,2,"😮...... 😂😂😂😂😂😂the song at <a href=""https://www.youtube.com/watch?v=L3E0kq9YkjA&amp;t=831"">13:51</a> sounds literally like when my daughter was little and got ahonld of my cell phone into the settings and just randomly pressed on the different ringtones letting each one play for 1 second then the next over and over again with no dead space in between 😂😂😂"
@holdernewtshesrearin5471,2024-03-20T05:38:26Z,2024-03-20T05:38:26Z,0,"Remember that episode of the original Star Trek series where the Enterprise passed through a time warp and various random 3 second snippets of moments in time were experienced?<br>Now imagine you, the cast and crew, director, cameraman and everyone involved was on HEAVY concentrates of LSD and mushrooms while simultaneously EVERY childhood garage band ever assembled plays their very best original tunes....in reverse.<br>Now image Corey Feldman on vocals.<br>Yuuup....thats Angelic to the Core."
@holdernewtshesrearin5471,2024-03-20T05:28:40Z,2024-03-20T05:28:40Z,1,LOOK at the guy.<br>Did you expect his EARS to be any better?
@holdernewtshesrearin5471,2024-03-20T05:27:23Z,2024-03-20T05:27:23Z,2,Aaaaaahhhh.....the soothing sound of.....FELDMAN???<br>Not since Gilbert Gottfried has there been anything like it.
@ethanemmerich9698,2024-03-20T04:18:01Z,2024-03-20T04:18:01Z,1,This album is not on Spotify or YouTube how do I listen lol
@RancorousSea,2024-03-19T23:06:54Z,2024-03-19T23:06:54Z,7,This is the auditory version of when you go the wrong direction in Mario Kart
@RancorousSea,2024-03-19T22:45:01Z,2024-03-19T22:45:01Z,1,This begs the question : could joe jackson turn corey feldman into michael jackson?
@Questioningbasics,2024-03-19T18:29:52Z,2024-03-22T18:49:22Z,9,This is the only way to listen to the album now 😢
@MeowsyMcdermottEsq.,2024-03-19T18:10:45Z,2024-03-19T18:10:45Z,6,Coming all the way back. Sad news today.
@Robstafarian,2024-03-19T12:08:58Z,2024-03-19T12:08:58Z,4,I genuinely had no idea that music could be this bad.  I struggle to imagine what kind of mental illness created this.
