author,published_at,updated_at,like_count,text,sentiment
@earningzekrom4173,2024-05-22T03:13:45Z,2024-05-22T03:13:45Z,0,RIP to all the innocents who died,1
@KissyCrissy,2024-04-26T01:11:17Z,2024-04-26T01:11:17Z,0,A Genius,5
@boosay1146,2024-04-11T12:24:43Z,2024-04-11T12:24:43Z,0,I bongo with my lingo,5
@cerealkiller4702,2023-12-19T03:53:48Z,2023-12-19T03:53:48Z,1,I genuinely think this is a 10,5
@grahamkristensen9301,2023-12-13T23:21:35Z,2023-12-13T23:21:35Z,0,This album sounds like two computers having an intense dance battle in the middle of a Sri Lankan slum.,4
@CarDitoXMEYEDUST,2023-09-24T00:52:20Z,2023-09-24T00:52:20Z,0,"she was born in sri lanka, not london",1
@MachineWashable101,2023-05-22T04:07:29Z,2023-05-22T04:07:29Z,1,U.R.A.Q.T is such a fun bop,5
@Hello185,2023-02-08T23:30:29Z,2023-02-08T23:30:29Z,0,We love classic week YEAH,5
@allenolivieri1773,2023-01-10T19:50:50Z,2023-01-10T19:50:50Z,0,She is one of the last true musical artists in my opinion,5
@saugamathazine1959,2023-01-06T13:48:52Z,2023-01-06T13:48:52Z,0,Today this video have became 2 years old.,5
@Shemzinho,2022-12-18T12:46:44Z,2022-12-18T12:46:44Z,15,"This album has aged phenomenally. So fresh, so eclectic, so diverse. Fire Fire, Galang, Sunshowers really stick out to me. In my opinion it’s one of the greatest debut albums ever and it’s Maya’s best album",5
@esequielvazquez4701,2022-11-01T04:39:03Z,2022-11-01T04:39:03Z,1,"Thank you Anthony for recommending me this album, it&#39;s all that I&#39;ve been listening to all this week, fucking amazing",5
@lukaANDkrosty,2022-10-13T18:27:08Z,2022-10-13T18:27:08Z,2,so she&#39;s lost her based card now huh,3
@gasmaskestore8018,2022-10-06T20:46:48Z,2022-10-06T20:46:48Z,0,"She was like 17 years ahead of the curve, now in 2022 most music sounds like this",5
@dillondewitt3952,2022-09-19T13:08:38Z,2022-09-19T13:08:38Z,1,This has got to be a huge influence on Death Grips. The album is so bumpy and just…LOUD in the best way. Such an under appreciated artist.,5
