author,published_at,updated_at,like_count,text
@anniebell6846,2024-06-20T21:54:23Z,2024-06-20T21:54:23Z,0,Love this album so much 💚💚💚😊
@1999millionaire,2024-06-20T20:30:33Z,2024-06-20T20:30:33Z,0,10???!!?!?!!!
@Zelf32,2024-06-20T17:44:33Z,2024-06-20T17:44:33Z,0,7.5/10 for me
@gxbrxxl9626,2024-06-20T17:27:01Z,2024-06-20T17:27:01Z,0,Biased (he&#39;s a brat)
@hehe-ly8rd,2024-06-20T16:02:56Z,2024-06-20T16:02:56Z,0,брат за брата
@user-mr6xo7bt1s,2024-06-20T13:18:38Z,2024-06-20T13:18:38Z,2,I resent the fact that we&#39;re calling single album releases &#39;eras&#39; now.
@firstnamelastname7244,2024-06-20T12:34:04Z,2024-06-20T12:34:04Z,0,"This album is like the sounds they play to scare away raccoons, but for music snobs. 10/10 is kinda based, though I&#39;d probably give it an 8 or maybe a 9."
@omarfish8940,2024-06-20T01:12:31Z,2024-06-20T01:12:31Z,0,If this album was called &quot;The Big Brat&quot; you would&#39;ve given it a 0/10
@Londeton,2024-06-19T23:55:49Z,2024-06-19T23:55:49Z,3,What did u smoke!?
@thelowlytrinity,2024-06-19T22:00:05Z,2024-06-19T22:00:05Z,0,10/10? hand over the poppers mr you&#39;ve had enough
@KarolinoPetrolino,2024-06-19T20:38:22Z,2024-06-19T20:38:22Z,1,Happy pride to you too Fantano &lt;3
@kof867,2024-06-19T20:23:45Z,2024-06-19T20:23:45Z,1,Favourite album of the year so far but I don’t think it’s a 10 more like a strong 8 for me
@Hoosje11,2024-06-19T17:54:34Z,2024-06-19T17:54:34Z,0,"I really like the album but it is not more innovative or different than something Tove Lo would put out, someone you gave a 0 on your channel. I also find it very weird this particular album is getting so much praise and acclaim while something like this would get trashed back in the day (a la Kesha’s Animal). It’s just weird?"
@dancingonmy0wn,2024-06-19T17:24:17Z,2024-06-19T17:24:17Z,0,💚💚💚
