author,published_at,updated_at,like_count,text
@Tyberes,2024-06-20T22:00:30Z,2024-06-20T22:00:30Z,0,&quot;im not excited to hear drake cosplay as a gangster&quot;<br><br>Yeah turns out you weren&#39;t the only one.
@FishySwordfish,2024-06-20T18:51:52Z,2024-06-20T18:51:52Z,0,WOP WOP WOP WOP
@smeagscientist,2024-06-17T09:12:03Z,2024-06-17T09:12:03Z,0,"<a href=""https://www.youtube.com/watch?v=k6ppxsRfZMA&amp;t=809"">13:29</a>  What are you actually talking about half of take care was supposed to be Abel&#39;s album frog you are insane"
@noobunderlord2464,2024-06-15T23:21:21Z,2024-06-15T23:21:21Z,6,CERTIFIED PEDOPHILE
@ogsneakerstv,2024-06-15T19:25:15Z,2024-06-15T19:25:15Z,0,Now onto the Kendrick beef. ❤
@KingMB_XJ_Official,2024-06-15T04:17:21Z,2024-06-15T04:17:21Z,3,The album cover is a reference to how he has kids with tons of different women only to abandon them until he can&#39;t anymore.
@twixtwix2915,2024-06-12T04:11:28Z,2024-06-12T04:11:28Z,0,We  all know if it was called “to pimp a lesbian” he would give it 10/10
@fpalillero7304,2024-06-07T05:04:36Z,2024-06-07T05:04:36Z,1,"<a href=""https://www.youtube.com/watch?v=k6ppxsRfZMA&amp;t=800"">13:20</a>"
@supernightslash,2024-06-05T16:22:19Z,2024-06-05T16:22:19Z,5,"Good lord, this album will be never looked at the same, EVER again."
@VivekVP2024,2024-06-05T15:32:52Z,2024-06-05T15:33:05Z,10,"“Certified Lover Boy, certified pedophile, wah wah wah wah wah wah”"
@Alam-jg2rx,2024-06-05T05:42:54Z,2024-06-05T05:42:54Z,0,You only live twice drake is a James Bond fan did he put a Sean Connery nod or Ian Fleming rap in there
@Velvettears1771,2024-06-04T13:29:29Z,2024-06-04T13:29:29Z,0,Kendrick: 😡 <br>Drake: 🤬<br>Kanye: 💃🕺🪩<br>Hotel: Trivago
@user-gz1vx2sp5e,2024-06-03T08:12:27Z,2024-06-03T08:12:27Z,5,Certified LOVER BOY? CERTIFIED PDF.
@grantus_pax,2024-06-03T05:19:53Z,2024-06-03T05:19:53Z,2,certified over boy
@cassyw7852,2024-05-30T22:09:03Z,2024-05-30T22:09:03Z,4,This album is about as good as its cover. It’s not.
@akhan1201,2024-05-29T07:25:25Z,2024-05-29T07:25:25Z,2,"<a href=""https://www.youtube.com/watch?v=k6ppxsRfZMA&amp;t=657"">10:57</a>  this aged so well considering current events💀🤣"
@walteryellow3884,2024-05-25T20:39:01Z,2024-05-25T20:39:01Z,29,WOP WOP WOP WOP<br><br>IMMA DO MY SHTUFF
@walteryellow3884,2024-05-25T20:38:25Z,2024-05-25T20:38:25Z,21,WOP WOP WOP WOP <br><br>DOT FUCK EM UP
@friartuck4195,2024-05-25T15:19:32Z,2024-05-25T15:19:32Z,0,"<a href=""https://www.youtube.com/watch?v=k6ppxsRfZMA&amp;t=724"">12:04</a> M-Meg??"
@Mezelenja,2024-05-24T20:20:53Z,2024-05-24T20:20:53Z,9,One of the worst album covers of all time god damn
@rehaansiddiqie,2024-05-23T20:37:26Z,2024-05-23T20:37:26Z,33,CERTIFIED PEDOPHILE
@dannycascade7519,2024-05-23T16:52:22Z,2024-05-23T16:52:22Z,23,"Certified Lover Boy? Certified pedophiles<br>Wop, wop, wop, wop, wop, Dot, fuck &#39;em up<br>Wop, wop, wop, wop, wop, I&#39;ma do my stuff<br>Why you trollin&#39; like a bitch? Ain&#39;t you tired?<br>Tryna strike a chord and it&#39;s probably A-Minor"
@Vanguardbk96,2024-05-22T17:04:13Z,2024-05-22T17:04:13Z,16,WOP WOP WOP WOP WOP
@jasongee28,2024-05-20T15:39:23Z,2024-05-20T15:39:23Z,5,"<a href=""https://www.youtube.com/watch?v=k6ppxsRfZMA&amp;t=358"">5:58</a> got me so fucked up😂😂"
@diegomo1413,2024-05-19T16:23:36Z,2024-05-19T16:23:36Z,20,So Drake is actually hiding 12 children 🤔
@nickleiss7412,2024-05-19T04:58:36Z,2024-05-19T04:58:36Z,22,certified loveryboy certified what
@haustkonungur1303,2024-05-18T13:03:40Z,2024-05-18T13:03:40Z,17,I like how kendrick ruined this album<br>Certified Lover Boy ? Certfied Pedo*<b>*</b>
@Bi_scotti_5,2024-05-18T04:38:33Z,2024-05-18T04:38:33Z,2,the fucking car battery joke still gets me every fucking time
@axelbaker8737,2024-05-17T14:24:15Z,2024-05-17T14:24:15Z,3,Certified Loverboy? More like certified pdf file.
@jainzofc,2024-05-16T08:07:57Z,2024-05-16T08:07:57Z,27,Yeah i know yall came back to this video
@thebeatgoesround9265,2024-05-16T00:43:05Z,2024-05-16T00:43:05Z,2,Certified Boy Lover
@Fabian-sd3qb,2024-05-15T22:14:07Z,2024-05-15T22:14:07Z,0,I never heard this album but yebba&#39;s heartbreak is a masterpiece
@ThomasBostic-cz4tw,2024-05-15T21:53:21Z,2024-05-15T21:53:21Z,0,"I gave the album a listen, with the expectation it would have that drake sound, i mean Kendrick said it best, drake on the melodies, unmatched. This shit here was not it. Aw hell naw"
@aspacelex,2024-05-15T17:12:00Z,2024-05-15T17:12:00Z,34,"In light of the recent events, I interpret the cover as an admission of how many baby mamas he&#39;s hiding."
@poopmachine71,2024-05-15T00:26:45Z,2024-05-15T00:26:45Z,6,DOT FUCKEM UP
@jmsytbe,2024-05-14T11:55:19Z,2024-05-14T11:55:19Z,18,Certified Lover Boy? Certified .PDF file.
@thenotoriouszsj,2024-05-14T04:47:14Z,2024-05-14T04:47:14Z,4,This hits different after the beef
@morfeuschamploo1259,2024-05-13T01:58:29Z,2024-05-13T01:58:29Z,14,"<a href=""https://www.youtube.com/watch?v=k6ppxsRfZMA&amp;t=666"">11:06</a> this aged like milk"
@gamerguru2924,2024-05-12T13:36:30Z,2024-05-12T13:36:30Z,2,Fantano just glides over the fact Kanye leaked the address cus drake leaked his record. Drake gets what he asks for 😂
@sleep6837,2024-05-11T18:15:08Z,2024-05-11T18:15:08Z,20,"<a href=""https://www.youtube.com/watch?v=k6ppxsRfZMA&amp;t=528"">8:48</a> well this aged well"
@CamiloLascoutx,2024-05-11T17:39:04Z,2024-05-11T17:39:04Z,34,This cover art gets funnier every day
@dwright3252,2024-05-10T22:43:01Z,2024-05-10T22:43:01Z,15,"“Hey Drake, I heard you like them young….”"
@PatatoPAT3,2024-05-10T21:01:31Z,2024-05-10T21:01:31Z,28,certified lover boys certified pdf files!! 💀💀
@Zou523,2024-05-10T16:31:00Z,2024-05-10T16:31:00Z,9,Man this review aged like fine wine
@itsallenwow,2024-05-10T04:55:14Z,2024-05-10T04:55:14Z,268,How could anyone think Drake is hiding a daughter with an album cover like this?
@glengaines4286,2024-05-10T02:37:26Z,2024-05-10T02:37:26Z,25,Certified lover boy? CERTIFIED PDF FILE!!😂
@rindoggydog,2024-05-09T21:16:06Z,2024-05-09T21:16:06Z,128,WOP WOP WOP WOP WOP
@TheBBQify,2024-05-09T19:52:36Z,2024-05-09T19:52:36Z,23,Best aged album cover of all time
@fookinmineh670,2024-05-09T17:20:10Z,2024-05-09T17:20:10Z,13,"All those baby mamas, how many you hiding drake?"
@aradhyasingh5694,2024-05-09T15:13:51Z,2024-05-09T15:13:51Z,18,CERTIFIED LOVERBOY? CERTIFIED PEDOPHI-  🗣
@JPTQJR,2024-05-08T21:22:58Z,2024-05-08T21:22:58Z,861,CERTIFIED PDF FILE 👮‍♂️🚔🚨
@kitpalmer1583,2024-05-08T20:49:13Z,2024-05-08T20:49:13Z,34,CERTIFIED PEDOPHILE
@TVs_Brent,2024-05-08T13:15:53Z,2024-05-08T13:15:53Z,23,Certified loverboy? Certified pe...
@DmytroHryban,2024-05-06T15:34:56Z,2024-05-06T15:34:56Z,59,Certified lover boys? Certified
@Green-fz8ej,2024-05-05T19:14:51Z,2024-05-05T19:14:51Z,1,nah lil baby&#39;s feature on glg was ASS
@forzathefluffyfox,2024-05-05T03:12:02Z,2024-05-05T03:12:02Z,26,girls in that cover gotta be underage
@MexicanGokuz,2024-04-19T09:09:44Z,2024-04-19T09:09:44Z,11,certified boy lover
@Kiethlmao,2024-04-12T14:38:48Z,2024-04-12T14:38:48Z,4,Sounds like No Friends in The Industry aged like wine. He’s just 3 years ahead of his time
@cedrict7428,2024-04-12T10:41:37Z,2024-04-12T10:41:37Z,1,the take on no friends in the industry now...
@prazzz8322,2024-04-10T09:00:45Z,2024-04-10T09:00:45Z,1,Melon would have given it a 10 if it was called &quot;to pimp a lover boy&quot;
@babyfacebastard4379,2024-04-08T23:13:57Z,2024-04-08T23:13:57Z,4,12 baby moms is wild
@SchnifflySchnifflers,2024-03-30T19:35:56Z,2024-03-30T19:35:56Z,5,certified boy lover
@noahdavis6501,2024-03-30T00:38:09Z,2024-03-30T00:38:09Z,3,“I know that drake’s early work inspired Abel’s quite a bit”<br><br>I think you’ve got that backwards Melon
@falafel907,2024-03-12T03:33:15Z,2024-03-12T03:33:15Z,3,It would be a 10/10 if it was called to pimp a lover boy
@Ares_gaming_117,2024-03-07T16:27:03Z,2024-03-07T16:27:03Z,3,The best part of this album was Travis&#39; short spot on fair trade💀💀💀
@gaymerman3420,2024-02-05T04:55:29Z,2024-02-05T04:55:29Z,3,if this was called to certify a lover boy by kendrake lamar he would’ve given it a 3
@lugarespecial,2024-02-04T22:54:19Z,2024-02-04T22:54:19Z,6,This is one of ugliest covers ever made.
@mysteries_117,2024-02-04T17:44:49Z,2024-02-04T17:44:49Z,4,Im sure Drake wrote this
@PoopyWallFewPants,2024-01-21T04:29:01Z,2024-01-21T04:29:01Z,1,Bro this album fukin sucks<br>great rating! /srs
@fridgid9865,2024-01-08T00:08:36Z,2024-01-08T00:08:36Z,1,Elevator ahh music
@ug0053,2023-12-28T06:27:10Z,2023-12-28T06:28:19Z,0,"Ik a lot of ppl do not like clb and say it’s bad but personally I notice that a lot of 16-18 year olds like it, at least from what I seen, im 16 and all my friends fw clb heavy with songs like, champagne poetry,fair trade, n 2 deep,tsu, no friends in the industry,fucking fans, get along better, yebbas heartbreak, knife talk ofc, pipe down, girls want girls, in the Bible, race my mind,imy2, way 2 sexy(yes I know 😭)and fountains. maybe it just appealed to more of that age demographic, to people like us we will probably see this album as a classic listening to songs like n 2 deep singing out loud together or playing basketball to knife talk. Although my top 2 is thank me later then take care. It’s really interesting how everybody perceived the album but hey I guess that’s how it goes with long running artists and older fans. I would give the album a 8.5 tbh but to each their own 🤷‍♂️"
