author,published_at,updated_at,like_count,text
@shalomurigarfield147,2024-06-10T03:22:43Z,2024-06-10T03:22:43Z,0,CIRCLES is a top album of all time give that a ten out ten or at least a nine
@therecreationalguru7323,2024-06-05T04:53:28Z,2024-06-05T04:53:28Z,0,"Mac always had 1 song off a project that seemed to be a passion project for him weather it be with objects in the mirror, 2009, or hand me downs. And to get a whole album (circles) of it is the best send off in history"
@therecreationalguru7323,2024-06-05T04:44:48Z,2024-06-05T04:44:48Z,1,This album helped me grow out of the mindset I had as a teen carrying over to my 20’s. I wish I could thank his parents for the amount of times mac helped me get through it
@aleccjohnston,2024-06-03T21:42:19Z,2024-06-03T21:42:19Z,0,this is a 10/10 fym
@chasewatkins9657,2024-04-19T01:56:03Z,2024-04-19T01:56:03Z,1,How do people think swimming isn’t good
@jazzfunk27,2024-02-25T10:27:09Z,2024-02-25T10:27:09Z,2,This is a 10/10
@Sif_theGreatGreyWolf,2024-02-02T08:42:12Z,2024-02-02T08:42:12Z,1,RIP THE GOAT. ❤
@WeekendUpdate7,2024-01-20T05:27:21Z,2024-01-20T05:27:21Z,0,This is Mac Miller&#39;s Opus.
@whiskeynrats,2023-10-31T14:35:19Z,2023-10-31T14:35:19Z,0,9 wrrrrr
@jd5726,2023-10-30T09:23:52Z,2023-10-30T09:23:52Z,0,"This album will always hold a special place in my heart, dropped right when I was going through some deep shit, it help keep me sane"
@pan7374,2023-09-25T02:44:23Z,2023-09-25T02:44:23Z,1,The surf bass solo is worth nutting to
@HimothyNeutron3000,2023-06-29T14:12:57Z,2023-06-29T14:12:57Z,2,Giving swimming a 3 is fully criminal. It’s an EASY 7.5. One of my favourite albums to listen to on vinyl icl
@HimothyNeutron3000,2023-06-29T14:11:39Z,2023-06-29T14:11:39Z,0,Icl. I can see was one of my favourite tracks
@ominousintrusivethoughts3947,2023-06-20T05:31:18Z,2023-06-20T05:31:18Z,1,Hand me downs is the only song I&#39;ve ever heard that&#39;s about sex to have a kid
@IvanGarcia-uh6pf,2023-06-15T04:18:55Z,2023-06-15T04:18:55Z,2,Being on mushrooms and listening to this album is the best therapy money can buy
@hfdghwys,2023-05-06T05:47:07Z,2023-05-06T05:47:07Z,4,i’m currently crying to this album in my living room with my girlfriend. this is a 10/10.
@RegentMills,2023-02-27T06:43:40Z,2023-02-27T06:43:40Z,2,"is the greatest album ever made but it&#39;s okay, I forgive you"
@jo_nm9484,2023-02-18T01:19:46Z,2023-02-18T01:19:46Z,0,"This album is so good, every song grows on me and each song as been my favorite at some point"
@bode2242,2023-01-22T17:15:58Z,2023-01-22T17:15:58Z,3,"i def personally think of i can see as one of the best songs on the album. the combination of everything during the chorus, his beautiful vocals, the verses???"
@camvalence,2023-01-19T16:36:36Z,2023-01-19T16:36:36Z,1,Happy birthday Mac🕊🙏
@jackdubrule516,2023-01-14T20:46:49Z,2023-01-14T20:46:49Z,1,"Thank you, man; this made my day."
@abdoonyt9049,2023-01-10T08:07:14Z,2023-01-10T08:07:14Z,4,FUCKING EVERYTHING IN THIS ALBUM MAKES YOU CRY :/. Literally no surprise that melon&#39;s breaking point was good news
@dave_by_day7632,2023-01-08T20:21:44Z,2023-01-08T20:21:44Z,78,If an album brings a grown ass man to uncontrollable tears then it&#39;s a 10/10
@eihcra2460,2022-12-26T23:59:00Z,2022-12-26T23:59:00Z,0,❤
@JACOBTHASECOND,2022-12-24T04:29:02Z,2022-12-24T04:29:38Z,1,Always really gonna appreciate how much respect he will give to genuinely good music. As hated as his swimming review is. It has genuine critique and it sat very differently with people then it does now that Mac miller has passed. I will always understand that and it’s crazy how people will go so much hate to what was just an opinion. Because even despite all that melon still was more than willing to give circles an 8. Which just shows as long as artistic development continues and that produced a good record. Melon will approve. To be frank I’ve always agreed with this for most artists.
@arnulfoperez534,2022-12-18T20:56:25Z,2022-12-18T20:56:25Z,0,I loved devine feminine
@andredoa6622,2022-12-13T19:27:39Z,2022-12-13T19:27:39Z,0,abrótano
@healerrlive4474,2022-12-07T19:41:12Z,2022-12-07T19:41:12Z,0,melon: swimming is too moody and emotional<br><br>also melon: circles is too moody and emotional<br><br>right
@arnulfoperez534,2022-12-01T19:47:23Z,2022-12-01T19:47:23Z,2,Surf has to be one of my favorite songs of all time.
@dbonechis,2022-10-22T01:42:37Z,2022-10-22T01:42:37Z,3,"Never forget that he gave Swimming a 3/10, and that unoxidized Lithium that can be found inside of batteries explode when exposed to water for an easy-to-make DIY pipebomb."
@shirashirashirashirashir,2022-09-08T12:43:13Z,2022-09-08T12:43:13Z,0,thank you
@Airestotle09,2022-08-31T21:51:15Z,2022-08-31T21:51:38Z,0,I get your opinion but Surf is a masterpiece. Every song on the album just hits. 10/10
@flynthef4385,2022-08-30T23:26:57Z,2022-08-30T23:26:57Z,0,Back tracking ass
@GameJunkyard11,2022-08-29T06:23:40Z,2022-08-29T06:23:40Z,9,"Best correctly done posthumous release of our generation. R.I.P. Mac, gone way too soon."
@mbayasi,2022-08-19T12:48:48Z,2022-08-19T12:48:48Z,0,i never checked this review because of how im emotionally attached to this album and didn’t want to see a bad score.. glad i did finally!
@moonman323,2022-08-18T16:27:39Z,2022-08-18T16:27:39Z,2,Washed out production on swimming. WHAT? 🤣🤣🤣
@SuperDuperNerd,2022-08-17T05:04:31Z,2022-08-17T05:04:31Z,0,Kinda werid how he&#39;s reviewing his own album
@brennanboone1879,2022-08-12T13:51:07Z,2022-08-12T13:51:07Z,2,Melon turned his shit around
@greasemonkey1199,2022-07-25T17:33:26Z,2022-07-25T17:33:26Z,0,4. good new<br>5. I can see<br>6. Everybody
@DDub04,2022-07-21T21:19:42Z,2022-07-21T21:19:42Z,2,"Circles is my album of the decade so far. We’ve had great releases thus far. Gorillaz, Tyler the Creator, and Kendrick have all came with some of my most listened to albums with some of their best work. Not only that, but artists I have just started to listen to like Little Simz or Denzel Curry, or even Spellling (an album this channel introduced me to) all having great records. But this album, which came out right at the turn of the decade, has managed to deliver such a powerful statement, which is oddly strengthened by Mac Miller’s unfortunate passing. This album is fairly minimal in a lot of ways, but at the same time lush and intimate. It’s near perfect. I can only dream of what he could’ve done musically after Swimming and Circles, but what a note to leave on.<br><br>Rest In Peace."
@joenovotny5441,2022-07-18T23:18:22Z,2022-07-18T23:18:22Z,0,You are so wrong about divine feminism and swimming both albums where amazing he took a leap of faith with the divine feminism and his fans liked and gained alot more fans because of it Kendrick even told Mac while making the divine feminism “this is what you should be doing” and it just was so different idk if you have experienced changed like that I mean mac even said an album is like a life time it start with life and ends in death he always tide that in either with words or melodies from a instrument
@SAZERU,2022-06-26T23:48:42Z,2022-06-26T23:48:42Z,0,L for NEEDLE<br>mfk NEEDE of peoples opinions on his hate then drops a video after dudes dead about how great his music<br>i know youre just a guy an have opinions about music but i will never appreciate the fact you judged this guys discography so harshly until he was fucking dead then you made a post praising his music and crying at it. that just spells fake to me i cant appreciate it<br><br>rest in piece mac and im sorry you were so harshly judged for your time here
