author,published_at,updated_at,like_count,text
@coldandwetvfx,2024-06-19T22:41:47Z,2024-06-19T22:41:47Z,0,"<a href=""https://www.youtube.com/watch?v=iirPux8sPGA&amp;t=155"">2:35</a> I interpret this as being inspired by hip-hop"
@susmailservice2019,2024-06-18T12:30:06Z,2024-06-18T12:30:06Z,0,at least he said brakence right
@susmailservice2019,2024-06-18T12:29:42Z,2024-06-18T12:29:42Z,0,"Not to get too angry over a review, but can I say something? As someone who listens to BTS, brakence, and many other rap artists, we have been too lenient about melon misunderstanding almost everything"
@susmailservice2019,2024-06-18T12:23:15Z,2024-06-18T12:23:15Z,0,bro still carrying that L to this day and im not talking about brakence
@user-th6rh8zp3t,2024-06-17T05:34:07Z,2024-06-17T05:34:07Z,0,anthony you&#39;re so on point i&#39;ve always cringed at his lyrics
@RocketDCP,2024-06-16T15:55:51Z,2024-06-16T15:55:51Z,0,this has to be most ive ever seen someone understand this album.
@khaelt42,2024-06-13T15:05:58Z,2024-06-13T15:05:58Z,0,"If any of you in the comments unironically think that Brakences lyrics are good and if you above 20y old I suggest you reconsider your life choices. Everything from production etc. is really good but his lyricism is horrendous, Argyle and Teeth are the worst offenders."
@fl1ck3rr,2024-06-13T08:20:51Z,2024-06-13T08:20:51Z,0,you literally have never missed harder lmao its been like almost two years and im still upset
@y8naka,2024-06-05T16:44:14Z,2024-06-05T16:44:14Z,0,L take
@kriegrrr,2024-06-05T15:00:17Z,2024-06-05T15:00:17Z,0,Still one of melons worst reviews to date
@SawyerEmerich,2024-05-31T16:43:33Z,2024-05-31T16:43:33Z,0,"Melon barely touched on how musically genius this album actually is, horrible take imo"
@aidenrose9736,2024-05-27T19:07:11Z,2024-05-27T19:07:11Z,1,"Coming back to this, just to say, this is your absolute worst take"
@0aeth0,2024-05-26T20:31:27Z,2024-05-26T20:31:27Z,0,this is unironically the worst take ive ever seen on theneedledrop channel and he game i didnt mean to haunt you a lower score then scrapyard (i love both albums btw)
@stoogel,2024-05-25T23:02:21Z,2024-05-25T23:02:21Z,1,Fantano&#39;s getting old and possibly out of touch with this cringe zoomer screeching
@patrickmcguire9671,2024-05-19T18:45:43Z,2024-05-19T18:57:40Z,0,I love Brakence sound but I agree the lyrics are bad. Punk2 was better in that regard. The run through to prozac is one of my favorite things ever.
@SaintTrinaLore,2024-05-19T16:36:28Z,2024-05-19T16:36:28Z,1,"Melon, no!"
@prodghxstiin,2024-05-09T13:25:45Z,2024-05-09T13:25:45Z,2,man ily but i absolutely don&#39;t agree with this at all.
@cosmicjokeclub,2024-05-08T02:32:36Z,2024-05-08T02:32:36Z,0,I supplement my life with this album
@vKyIe,2024-05-03T18:58:54Z,2024-05-03T18:58:54Z,0,L
@MrSephi98,2024-04-30T01:32:35Z,2024-04-30T01:32:35Z,1,"I think your looking past his emotions and what he struggles with and clearly telling his fan base, like juice with drugs and the weekend with sex. Idk i think he did great with this album."
@dysennn,2024-04-26T05:01:01Z,2024-04-26T05:01:01Z,0,how did he not even comment at all about the gorgeous titular track &#39;hypochondriac&#39;
@dysennn,2024-04-26T04:54:39Z,2024-04-26T04:54:39Z,0,"anthony fantony calling cbd chorus &quot;one of the better pop hooks ive heard this year&quot; gotta be one of the most retarded takes ive ever heard. of all the hooks bro could have chosen from this album, he chooses one of the most mid ones."
@jmm947,2024-04-24T19:14:16Z,2024-04-24T19:14:16Z,0,this was the day i lost respect for you
@shakshbh,2024-04-21T16:03:37Z,2024-04-21T16:03:37Z,0,5? cmon man
@roseyzzz523,2024-04-21T07:35:46Z,2024-04-21T07:35:46Z,0,This one hurts
@bhq3860,2024-04-20T03:22:39Z,2024-04-20T03:22:39Z,2,"the comments on this are so funny, all the brakence fanboys going through the five stages of grief because he made a mid album"
@uservisionary,2024-04-17T04:11:37Z,2024-04-17T04:11:37Z,0,hopefully brakences grows on him
@II-vr8qx,2024-04-11T05:48:58Z,2024-04-11T05:48:58Z,0,how does one miss the whole entire point of every song on a whole entire album lol this needs to be revisited.
@allison4350,2024-04-05T14:25:52Z,2024-04-05T14:25:52Z,2,"You had already lost the credibility and trust I had in your opinions, but I was still hoping you’d say something positive about something that is by the masses considered one of the best albums ever made, all hope of any credibility for your opinions on music is completely gone out the window with this video, your opinion is trash and your taste is pretentious"
@lamikiminach9503,2024-04-01T06:05:36Z,2024-04-01T06:06:20Z,1,Hes gonna revisit this album 5 years from now and admit he was way too hard on it &amp; renounce his nit-picky lyrical critiques like he did with most of Lana’s early discography….
@lamikiminach9503,2024-04-01T06:01:56Z,2024-04-01T06:01:56Z,1,Tasteless … seriously
@aesra1185,2024-03-25T06:46:56Z,2024-03-25T06:46:56Z,1,How did you somehow manage to misread literally every song on this album
@AcesGym,2024-03-25T02:55:41Z,2024-03-25T02:55:41Z,1,He needs to revisit this
@h3ndo13,2024-03-14T18:02:12Z,2024-03-14T18:02:12Z,5,This album review is what made me understand that Anthony is a pretentious hipster that likes to make negative comments about artists that he doesn’t understand
@dswan8733,2024-03-12T04:53:13Z,2024-03-12T04:53:13Z,4,Rereview melon
@MartinPoquet,2024-03-11T17:21:31Z,2024-03-11T17:21:31Z,1,yes it just an opinion but how someone can be this wrong every time?
@OrganicONGOD,2024-03-09T05:00:49Z,2024-03-09T05:00:49Z,5,Introvert is one of the greatest songs I’ve ever heard
@wardednickel2552,2024-03-08T21:51:33Z,2024-03-08T21:51:33Z,0,i hate this guy
@kintsugi3932,2024-03-07T16:27:08Z,2024-03-07T16:27:08Z,1,Proof this guy just always talks confidently and why people always agreed with him. Half of his fans are just hipsters or hate on any rapper that is white. Bad lyrics? Have you heard some of the stuff you reviewed and never touched on that? Cringe and bad review. Missing the entire point of so much.
@CRE4T0R42,2024-02-29T14:20:39Z,2024-02-29T14:20:39Z,1,Dont let this man ever have an opinnion again
@evanderschwartz8150,2024-02-22T20:30:27Z,2024-02-22T20:30:27Z,0,"I’m not trying to be rude or jump the ‘bandwagon’… but I really don’t think you could be more wrong about this album. I will agree, sure, the complexity of the lyrics isn’t like “there”…. But this isn’t like an Eminem album/song where there’s context, subliminal context, on top of hidden context. Where, like, I’m gonna have to listen to the album/song a good couple times to fully get/understand its FULL meaning. But this album has really smooth flow, interesting and complex beats merged together, plus I think it paints, somewhat, of a picture as to what young/insecure people go through when they start to get popular, as well perhaps what overcritical/depressed people feel when they go through something. But I think EVEN that, looking that deep/critical at the album takes away from it. More so, I think it’s an enjoyable listen, and something that you can just vibe too and feel something. But I definitely think you got this wrong, and I mean… didn’t you literally get famous because some of your videos got famous on FB? I mean, I feel like your whole fame was built off of quirky and corky beats… like nothing serious… so I’m confused as to your overall stance on this, and how you sit at this ‘table’ I guess…"
@romacarths9577,2024-02-20T03:35:30Z,2024-02-20T03:35:30Z,0,"Yikes bro, this album is a masterpiece and you missed all the nuance. Normally a fan but this take is a bad one."
@chiemela98,2024-02-18T16:17:54Z,2024-02-18T16:17:54Z,0,A 5 is crazy this record deserved at least an 8 yeah a lot of the lyrics were cringy the kid is 20 years old come-on
@eaterofthegalaxy4875,2024-02-04T23:53:22Z,2024-02-04T23:53:22Z,0,"After giving the absolutely stupidest albums ever a 10 and bashing some of the greatest albums ever, I’m finally at peace because this video is the absolute final evidence that this guy has NO IDEA what he’s talking about. It still breaks my heart that this complete impostor has such a big platform, so the chance is extremely high that he turned many people off with his reviews, for example making them not even want to listen to masterworks like Hypochondriac, and therefore robbing them of what might have been one of their most beloved discoveries in music. <br><br>If there was a God, Fantano would not have internet connection."
@axante,2024-02-02T15:59:23Z,2024-02-02T15:59:23Z,0,"I agree with fantano to a degree. I think if you can ignore some of the strange lyrics, I think the beats/production and vocal production I think it makes for a satisfying and enjoyable listen....sonically which I think is the main thing whne it comes to finding music you like.<br><br>CBD being his favourite track is typical. the closest thing to a 4 piece band with a lead, not very adventurous, vocal. Fantano bread and butter aka &quot;boring&quot; <br>Decent 6 from me. From more of a face value perspective I&#39;d say light 7"
@cjsdizzy,2024-01-31T13:47:40Z,2024-01-31T13:47:54Z,0,I cant lie this is exactly how i felt when i first listened to the album. I think the production and vocals were good enough to make up for the lyrics for me more than melon tho
@vinisvisionandvisionaryisvin,2024-01-30T21:32:34Z,2024-01-30T21:32:34Z,1,bruh
