author,published_at,updated_at,like_count,text,sentiment
@tobyflenderson892,2024-05-18T01:58:19Z,2024-05-18T01:58:19Z,0,You only gave this a 9 cause it’s good,4
@rabnabombshell,2024-05-15T05:34:30Z,2024-05-15T05:34:30Z,0,"<a href=""https://www.youtube.com/watch?v=bbsD3mRmQn4&amp;t=309"">5:09</a>",1
@mrlevinielsen,2024-02-22T06:21:49Z,2024-02-22T06:21:49Z,2,“Shut your normie ass up” was not something I was expecting to hear on a rap album like this but here we are,1
@jacksonmasco,2024-01-20T00:56:51Z,2024-01-20T00:57:04Z,0,"nemo is sonically harsh? havnt disagreed w melon review this hard in a minute<br><br>plain 6, imo",1
@sillydropoutbear,2024-01-17T11:09:32Z,2024-01-17T11:09:32Z,5,If it was called &quot;The LP! Store&quot; you would have given it a 10,1
@-electrochapati-5501,2024-01-11T11:52:51Z,2024-01-11T11:52:51Z,0,melonhead uve made me so happy,5
@PeakApex,2023-11-19T02:25:03Z,2023-11-19T02:25:03Z,4,JPEGMafia is the best producer in hiphop. I&#39;ve never heard a rap song as good as What Kind of Rappin&#39; Is This.,5
@bigsuitreviews5337,2023-09-21T20:29:27Z,2023-09-21T20:29:27Z,6,"I love how genuine this comment section is, I&#39;ve just been getting into Peggy and the love is so deserved",5
@999petterson4,2023-07-30T09:53:03Z,2023-07-30T09:53:03Z,3,Obra de arte,5
@chrishazfun,2023-07-10T16:27:09Z,2023-07-10T16:27:09Z,0,please god review hello nasty for classics week,5
@theMC555,2023-06-28T15:22:28Z,2023-06-28T15:22:28Z,0,That Arn Anderson sample on End Credits is incredible,5
@estef_ano,2023-06-18T03:57:15Z,2023-06-18T03:57:15Z,1,this gonna be a 10 in the future,5
@Julian-uk6mj,2023-05-23T13:21:01Z,2023-05-23T13:21:01Z,2,Peggy might be one of the most consistent artists ever hes fucking crazy,1
@JoeLaFon3,2023-05-20T09:47:11Z,2023-05-20T09:47:11Z,0,The 1 true Internet&#39;s Artist,5
@I3Olid,2023-05-04T03:40:52Z,2023-05-04T03:40:52Z,4,Why end credits! Isn’t in your fav tracks 😿😿😿,1
@RegisteredLate123,2023-04-04T08:30:36Z,2023-04-04T08:30:36Z,3,i just realised theres a girl on the cover,2
@inordirection_,2023-03-23T05:55:21Z,2023-03-23T05:55:21Z,1,I&#39;m confused about the outro to this video. Where is the upworthy link he was alluding to?,1
@ajsmilkbottle,2023-03-22T16:41:09Z,2023-03-22T16:41:09Z,1,you should review joechillworld,4
@whiteace_t.k.o8060,2023-02-27T19:39:03Z,2023-02-27T19:39:11Z,1,<b>The left Wing Hades</b> 🤣😂,3
@MegaZach9,2023-01-25T16:50:06Z,2023-01-25T16:50:06Z,1,I’m sorry but the deliver on “I look like Ray Allen” made me a fan fucking instantly 😂😂😂😂 I been sleeeeeeeping man this guy puts out gold,5
@Reardon.,2023-01-10T22:37:03Z,2023-01-10T22:37:03Z,3,2023 gonna be scary Peggy gonna drop 3 album 😈,1
@furbi917,2022-11-21T02:11:31Z,2022-11-21T02:11:31Z,2,Devon Hendryx✨🌙⭐️,5
@temmie_2283,2022-11-02T19:56:09Z,2022-11-02T19:56:09Z,0,Love this album,5
@DREW-TO-THE-BEE,2022-10-27T16:54:06Z,2022-10-27T16:54:06Z,0,"Def 10 for me, especially offline version. 💯 bangs, as well as all the other cuts. I don’t know why you don’t like 💯. Has it grown? Bye bye, fantano.",5
@teamkockroach4080,2022-10-18T00:38:35Z,2022-10-18T00:38:35Z,62,"TIMESTAMPS:<br><br><a href=""https://www.youtube.com/watch?v=bbsD3mRmQn4&amp;t=20"">0:20</a> Recap of AMHAC, EP1, and EP2<br><a href=""https://www.youtube.com/watch?v=bbsD3mRmQn4&amp;t=58"">0:58</a>, <a href=""https://www.youtube.com/watch?v=bbsD3mRmQn4&amp;t=160"">2:40</a> Descriptions of genre and energy on LP!<br><a href=""https://www.youtube.com/watch?v=bbsD3mRmQn4&amp;t=83"">1:23</a> Explanation of LP! and LP (OFFLINE)!<br><br><a href=""https://www.youtube.com/watch?v=bbsD3mRmQn4&amp;t=213"">3:33</a> TRUST!<br><a href=""https://www.youtube.com/watch?v=bbsD3mRmQn4&amp;t=235"">3:55</a> DIRTY!<br><a href=""https://www.youtube.com/watch?v=bbsD3mRmQn4&amp;t=256"">4:16</a> NEMO!<br><a href=""https://www.youtube.com/watch?v=bbsD3mRmQn4&amp;t=536"">8:56</a> END CREDITS!<br><a href=""https://www.youtube.com/watch?v=bbsD3mRmQn4&amp;t=266"">4:26</a> HAZARD DUTY PAY!<br>(not mentioned) GOD DON&#39;T LIKE UGLY!<br><a href=""https://www.youtube.com/watch?v=bbsD3mRmQn4&amp;t=305"">5:05</a> WHAT KIND OF RAPPIN&#39; IS THIS?<br><a href=""https://www.youtube.com/watch?v=bbsD3mRmQn4&amp;t=280"">4:40</a> THOT&#39;S PRAYER!<br><a href=""https://www.youtube.com/watch?v=bbsD3mRmQn4&amp;t=329"">5:29</a> ARE U HAPPY?<br><a href=""https://www.youtube.com/watch?v=bbsD3mRmQn4&amp;t=345"">5:45</a> REBOUND!<br><br>(not mentioned) 100 EMOJI!<br><a href=""https://www.youtube.com/watch?v=bbsD3mRmQn4&amp;t=381"">6:21</a> OG!<br>(not mentioned) DIKEMBE!<br><a href=""https://www.youtube.com/watch?v=bbsD3mRmQn4&amp;t=407"">6:47</a> SICK, NERVOUS &amp; BROKE!<br>(not mentioned) KISSY, FACE EMOJI!<br>(not mentioned) NICE!<br><a href=""https://www.youtube.com/watch?v=bbsD3mRmQn4&amp;t=441"">7:21</a> BMT!<br><a href=""https://www.youtube.com/watch?v=bbsD3mRmQn4&amp;t=131"">2:11</a>, <a href=""https://www.youtube.com/watch?v=bbsD3mRmQn4&amp;t=461"">7:41</a> THE GHOST OF RANKING DREAD!<br><a href=""https://www.youtube.com/watch?v=bbsD3mRmQn4&amp;t=145"">2:25</a> DAM! DAM! DAM!<br><a href=""https://www.youtube.com/watch?v=bbsD3mRmQn4&amp;t=497"">8:17</a> UNTITLED<br><br><a href=""https://www.youtube.com/watch?v=bbsD3mRmQn4&amp;t=511"">8:31</a>, <a href=""https://www.youtube.com/watch?v=bbsD3mRmQn4&amp;t=542"">9:02</a> Final Thoughts",1
@george0377,2022-10-04T18:42:42Z,2022-10-04T18:42:42Z,1,This was my first interaction with Peggy and was amazing. I like LP! offline more but still one of the best albums I ever heard in 2021.,5
@ashleyyoung1978,2022-09-02T23:52:34Z,2022-09-02T23:52:34Z,2,"please review this album <br><br>artist: zootey<br>album title: pop star<br><br>release date: a few dayz ago<br><br>all songz on this album are produced, written and perfomed by &quot;zootey&quot;<br><br><br>IT IZ A GR8 ALBUM<br><br>BUT YOU B DA JUDGE",1
@sosa7883,2022-06-27T16:02:15Z,2022-06-27T16:02:15Z,2,Drake era,5
@DevonTheRealest,2022-06-21T10:22:08Z,2022-06-21T10:22:08Z,1,Money imma make you look dirty,1
@KingLulzington,2022-06-17T04:42:03Z,2022-06-17T04:42:03Z,2,OG! is so insane man this dudes production is out of this world,1
@kingjomar00,2022-06-16T18:32:59Z,2022-06-16T18:32:59Z,5,LP a ten,5
@iMaradonaa,2022-06-15T05:51:24Z,2022-06-15T05:51:24Z,1,"Whatever about how good his music is (and it’s fucking good), who else sounds like this?? It’s so unique",5
@tylersamuels4438,2022-06-11T18:17:29Z,2022-06-11T18:26:46Z,1,I came mostly to hear what he had to say about Rebound. That shit was unbelievably hard. Whole album went crazy. I loved End credits too. Don&#39;t see a prob there.,1
@dopeybutton8650,2022-06-01T03:17:54Z,2022-06-01T03:17:54Z,1,ghost pop tape and LP! are completely different and somehow are both perfect despite how far apart they were made.,5
@hawkeyedsentinel4648,2022-05-04T22:36:00Z,2022-05-04T22:36:00Z,0,"Peggy just doesn&#39;t miss man, I hope he doesn&#39;t stop his hot streak 🙌",1
@TVDarkkiiller,2022-04-30T00:09:11Z,2022-04-30T00:09:11Z,0,shit straight up fire yo,1
@pants7214,2022-04-21T14:33:41Z,2022-04-21T14:33:41Z,3,i love reading these comments and seeing a “this track is my fav” for ever single track. just a testament to how good this record is,5
@chikasu10,2022-04-13T08:49:05Z,2022-04-13T08:51:34Z,0,"He looks like Death Grips<br>Edit: thanks for the second one <a href=""https://www.youtube.com/watch?v=bbsD3mRmQn4&amp;t=84"">1:24</a>",1
@marcoferrucci1358,2022-03-31T16:03:26Z,2022-03-31T16:03:26Z,0,What should I listen to if I don’t listen to JPEG?,1
@itsmebeter3538,2022-03-22T14:19:35Z,2022-03-22T14:19:35Z,0,i fucking hated this album 3/10,1
@DMVGREY,2022-03-18T03:25:53Z,2022-03-18T03:25:53Z,2,Peggy&#39;s gonna get a 10 one day,5
@pngCOATS,2022-03-15T17:18:22Z,2022-03-15T17:18:22Z,0,"alot of the the lyrics were bland and boring and the same shit he&#39;s always been saying, and that nice! beat was useless like why is it there",1
@forincognito22,2022-03-15T07:56:58Z,2022-03-15T07:56:58Z,2,How is kissy face emoji getting no love ???? Song is beautiful,5
@quarawlisstafford487,2022-03-13T19:49:48Z,2022-03-13T19:49:48Z,0,Jpegs whole album was skip-able and not playlist worthy.,1
@Tyggegummipervo,2022-02-01T23:38:39Z,2022-02-01T23:38:39Z,0,Searched for LP the artist .,5
@thespace8386,2022-01-29T16:21:06Z,2022-01-29T16:21:06Z,0,no this album it&#39;s just overrated boring nothing special about this shit,1
@piyush2465,2022-01-27T05:01:04Z,2022-01-27T05:01:04Z,1,"<a href=""https://www.youtube.com/watch?v=bbsD3mRmQn4&amp;t=450"">7:30</a> Anthony&#39;s brain transcended his own body",1
@1nxxko,2022-01-26T18:37:31Z,2022-01-26T18:37:31Z,0,i would love a full video breakdown on the beef between Armand Hammer &amp; Peggy,4
