author,published_at,updated_at,like_count,text,sentiment
@chateaulobby,2024-06-03T18:22:57Z,2024-06-03T18:22:57Z,0,i love this album the best way i can describe it is a squeegee just dragging it up and down on a car window just dry it&#39;s that sound that would make lmfao,5
@RealAsaMitaka,2024-04-29T06:32:59Z,2024-04-29T06:32:59Z,0,"<a href=""https://www.youtube.com/watch?v=iG_0Exs9jTQ&amp;t=79"">1:19</a> GALAXIE 500 MENTIONED!!!!!!!",1
@wellfed8705,2024-04-28T04:17:51Z,2024-04-28T04:17:51Z,0,"I still don&#39;t get the hype for this album. I can hardly tell one song from the next because it&#39;s so sonically one-note. <br><br>I hear it everywhere in music afterwards and definitely hear the influence it had because of that, but it&#39;s just not a great listen as an album. <br><br>I feel like this album deserves its own place in a list of &quot;Great 90&#39;s Albums That Were Influential But Kind of Bad in a Vacuum.&quot;",3
@tomdchi12,2024-04-20T04:43:27Z,2024-04-20T04:43:27Z,1,I’ll say it: you NEED to be in love with this staggering work of genius.,5
@woweezowie5826,2024-04-08T06:58:34Z,2024-04-08T06:58:34Z,1,Lmao the drummer &quot;column&quot;,5
@jeffreydeleon9442,2024-04-04T06:20:24Z,2024-04-04T06:20:24Z,0,haha! seminal!!,1
@ohraisins,2024-02-25T08:53:41Z,2024-02-25T08:53:41Z,1,Soon is the best track ever!,5
@salty898,2024-02-01T09:30:56Z,2024-02-01T09:30:56Z,0,I mean it&#39;s a near masterpiece but Oasis - Definitely Maybe is better,3
@Broncos14,2024-01-29T23:59:36Z,2024-01-29T23:59:36Z,1,Fine ill listen again,4
@aaof-d-mio-fv2fb,2023-12-19T08:46:41Z,2023-12-19T08:46:41Z,0,Are you a Millenial,5
@lucasargandona4658,2023-10-23T03:26:40Z,2023-10-23T03:26:40Z,1,Hate it cuz it just sounds like something stoners would listen to and has almost no melodies,1
@anthonygates7523,2023-09-12T00:22:24Z,2023-09-12T00:22:24Z,2,I only said 🔥🔥🔥🔥,1
@DoctorDash111,2023-09-05T21:40:17Z,2023-09-05T21:40:17Z,2,"You know, it took me 3 full listens to like this album and think it&#39;s good, still not my fav Shoegaze album (i much prefer Eureka, Hades and To See The Next Part of The Dream to it), but it&#39;d fit neatly in the 5th spot on my &quot;top 5 fav Shoegaze albums&quot; list",4
@alexpilgrim8248,2023-08-28T05:13:49Z,2023-08-28T05:13:49Z,1,10 out of 10 album. A true masterpiece of the genre,5
@Maul505,2023-05-27T01:51:00Z,2023-05-27T01:51:00Z,6,"This is one of the most polarizing albums ever, I fucking hate this album, there&#39;s not a song on it that I would want to listen to again, it&#39;s irritating and grating. But A LOT of people like this album",1
@jaydensugrim4241,2023-04-16T23:44:10Z,2023-04-16T23:44:10Z,0,haiiii,1
@Nimno74,2023-04-10T04:43:02Z,2023-04-10T04:43:02Z,3,"They named themselves after a movie that none of them had ever seen, only because it sounded overtly sexual, but tense and extreme, like they wanted their wanted to be.",2
@Nimno74,2023-04-10T04:38:37Z,2023-04-10T04:38:37Z,0,"Hell, they double bill toured with Dinosaur Jr. for this album.",5
@aaronpescasio,2023-03-30T12:08:26Z,2023-03-30T12:08:26Z,1,lmao,3
@Kisuke323,2023-03-25T09:14:33Z,2023-03-25T09:14:33Z,1,It is great to sleep to,5
@davejh3514,2023-03-22T08:31:24Z,2023-03-22T08:31:24Z,1,Great review. Loveless is a masterpiece!,5
@johnpanicker7590,2023-03-12T20:11:59Z,2023-03-12T20:11:59Z,1,Cornerstone of rock. A true classic,5
@conors8117,2023-02-25T05:01:29Z,2023-02-25T05:01:29Z,0,"I have that same &quot;Raw Power&quot; CD in my collection with the very same &quot;Best Value&quot; sticker on it 😁😁<br>Oh man, I can&#39;t tell you how much Raw Power and Fun House were on rotation in my headphones when I was in the 10th grade, which is funny considering I graduated in 2011",5
@jlouis4407,2023-02-16T06:55:15Z,2023-02-16T06:55:15Z,1,You go through stages like grief with this album. At first everything is intriguing and you can’t get a grip on it and you say I need to listen to this more. Then you listen and like it more but say why are the vocals so low and why did they do that. Then you either accept it as it is as perfect or discard it and you may have discarded it in any of the previous stages.,2
@jlouis4407,2023-02-16T06:48:28Z,2023-02-16T06:48:28Z,7,I love loveless and hate fantano,5
@ethanmiller631,2023-01-21T00:43:45Z,2023-01-21T00:43:45Z,5,i love bilinda butcher,5
@shin-kx9og,2023-01-09T09:28:12Z,2023-01-09T09:28:12Z,6,Don’t need ketamine or mdma. This album itself is drug.,1
@Zuorai,2022-12-23T11:24:47Z,2022-12-23T11:24:47Z,0,I was rly hoping to see a bunch of gamer people comment about apples and gifts this December in this comment section,1
@dingdongism,2022-12-10T13:41:08Z,2022-12-10T13:41:08Z,4,The best album ever made is Youth of Today’s Break Down the Walls. It’s like it shoegaze itself had shoes and gazed at them.,5
@usxnews1834,2022-12-02T01:43:23Z,2022-12-02T01:43:37Z,6,watching this is 2022 feels like melon is wearing one of those instagram face filters that makes you look like a baby,1
@silvertongues2,2022-10-28T19:48:26Z,2022-10-28T19:48:26Z,9,"The weird thing about MBV is that when you see them live they really do rock, the rhythm section is really driving and much more up front than on the record.",3
@christianvaneeden7460,2022-10-18T13:04:53Z,2022-10-18T13:04:53Z,0,0 years ago,1
@paulk8072,2022-10-16T13:24:47Z,2022-10-16T13:24:47Z,2,This album redefined music. You are an idiot.,5
@manifestgtr,2022-09-29T07:26:35Z,2022-09-29T07:26:35Z,4,"My experience with my bloody valentine is similar to how people describe captain beefheart. The first time I heard “only shallow”, it was kind of weird and I didn’t know what to make of it…then I found myself wanting to hear the “weeeeee, weeeeeeee” song with relaxing vocals again…then I checked out loveless and by the second or third spin, it was one of my favorite alt rock records. Returning to the opening analogy, the big difference is that captain beefheart never really <b>moved</b> me in the way that mbv ultimately did.",4
@bastienbl9312,2022-09-02T11:56:29Z,2022-09-02T11:56:29Z,0,It is truly a mark of genius when a band can put together an album that still surprises you after countless listens. It&#39;s addictive ! ♥,5
@LandoXV,2022-08-12T14:46:06Z,2022-08-12T14:46:06Z,0,Perfect shoegaze record,5
@d.s.9692,2022-08-04T21:47:37Z,2022-08-04T21:47:50Z,2,_           mbv<br>            /       \<br>smashing    boards of<br>pumpkins     canada,1
@jacquries3055,2022-07-14T19:50:36Z,2022-07-14T19:50:36Z,2,to me this is the most underrated album of alltime and in my opinion its up there with dark side of the moon and ok computer but tbh better than both,5
@michaeldavid145,2022-07-07T19:47:35Z,2022-07-07T19:47:35Z,0,Sometimes is my fav song ever,5
@evexx,2022-06-12T01:55:48Z,2022-06-12T01:55:48Z,2,put the glasses back on,1
@fernandopires5939,2022-06-10T06:24:37Z,2022-06-10T06:24:37Z,6,I love this album more than i love myself,5
@admasveagaanesrdlargdela9347,2022-05-31T02:22:49Z,2022-05-31T02:22:49Z,4,Bruh I wish needledrop was this in depth nowadays,2
@liamsjamsyt1047,2022-05-26T02:19:20Z,2022-05-26T02:19:20Z,3,strong 3 to a light 4,5
@keibetsu2527,2022-05-25T04:13:06Z,2022-05-25T04:13:06Z,2,"Are you okay, man?",3
@mr-peabody,2022-05-07T14:32:15Z,2022-05-07T14:32:15Z,2,"I had to keep telling myself he’s not being sarcastically ironic or ironically sarcastic.<br>Shoegaze is to music what abstract expressionism was to painting.<br>It’s the conceptualization of actions becoming feelings.<br>MBV is the Jackson Pollack of the genre.",3
@sharadmohip6536,2022-04-30T00:50:12Z,2022-04-30T00:50:48Z,2,"U just saying go it’s a classic cuz u hear it’s a classic , u have no ear no taste …",5
@frankfrank7921,2022-04-21T08:18:00Z,2022-04-21T08:18:00Z,1,What planet are you from? You don&#39;t look quite human.,1
@igoriosalamonqe4706,2022-04-17T21:06:52Z,2022-04-17T21:06:52Z,0,@theneedledrop Only after I fell in love with this album I was able to finally unlock my understanding of Your perspective on You Won&#39;t Get What You Want by Daughters.,5
@mishamazureka3486,2022-04-08T07:57:08Z,2022-04-08T07:57:08Z,0,antonio fantano ft. wood chipper,5
@MyBeautifulDarkTwistedFantasy6,2022-03-27T19:25:40Z,2022-03-27T19:25:40Z,4,Top 10 album of all time. Not even in my top 10 but still a top 10 album of all time,5
@axelhill8966,2022-03-23T18:24:35Z,2022-03-23T18:24:44Z,5,the album feels like taking acid in hot tub full of molly,3
@MrACangusyoungDC,2022-03-19T02:24:40Z,2022-03-19T02:24:40Z,0,"It&#39;s more the actual sound of Comfortably Numb, though the noise is so sheer that it&#39;s slightly pinching the dream state numbness. The performances feels so empty and apathetic that it&#39;s depressing to a horrific degree, yet there is still that magenta coloured major harmony that is touching bliss. I can&#39;t get my mind off it, really, and I think I like that.",3
@spencerjames9417,2022-03-07T05:52:54Z,2022-03-07T05:52:54Z,1,rare melons,3
@MartijnMols,2022-02-19T22:35:20Z,2022-02-19T22:35:20Z,0,"although the wall art behind you is a green screen, I&#39;m going to print the loveless cover art on a real painting",3
@needlelnthehay,2022-02-15T15:39:50Z,2022-02-15T15:39:50Z,0,1700,5
@iaincook5835,2022-02-15T12:42:12Z,2022-02-15T12:42:12Z,0,Airnthony Fairntairno.,3
