author,published_at,updated_at,like_count,text
@requiem165,2024-06-20T21:33:53Z,2024-06-20T21:33:53Z,0,nice
@Navaneeth-hv9sh,2024-06-15T08:10:55Z,2024-06-15T08:10:55Z,2,He didn&#39;t like it because it wasn&#39;t as twisted as his melon fantasy
@Dinosaur12349,2024-06-15T07:43:17Z,2024-06-15T07:43:17Z,2,I swear he called this album overrated in this review. Am I tweaking
@MadeByMiloz,2024-06-07T07:42:01Z,2024-06-07T07:42:01Z,2,i saw &quot;13 years ago&quot; and thought wtf mbtf did not release in 2007 then i clicked on more and realized it was in 2010 (TFMMFO)
@-Anonymous-.,2024-06-07T05:23:45Z,2024-06-07T05:23:45Z,0,Disagree about the hooks lmao
@stsddsod,2024-06-06T02:55:19Z,2024-06-06T02:55:19Z,1,Imma give this dislike button a 6/10
@sqyx93,2024-06-04T01:43:52Z,2024-06-04T01:43:52Z,2,“I did not care for the godfather”
@HeDoubleHockeysticks0,2024-05-28T10:08:48Z,2024-05-28T10:08:48Z,7,You gave sexyy reds album more than mbdtf wow
@chickensofdeath490,2024-05-23T00:25:18Z,2024-05-23T00:25:18Z,4,Yeah ive just listened to this Album and now I understand how terrible this review is lmao
@toucansam4732,2024-05-21T13:07:42Z,2024-05-21T13:07:42Z,4,"i bet if kanye had 200 monthly listeners, this would be a masterpiece, dumbass melon"
@aumin3961,2024-05-06T23:30:03Z,2024-05-06T23:30:03Z,6,Maybe Thanos was right...
@eduardozepol2000,2024-05-05T21:06:16Z,2024-05-05T21:06:16Z,5,"As of May 2024, this review has about 68k dislikes"
@SussyLuch-Clips,2024-05-04T14:48:36Z,2024-05-04T14:48:36Z,6,atleast kanye has a wife
@spongbong0,2024-04-25T01:49:33Z,2024-04-25T01:49:33Z,0,i respect your opinion.
@floydharper1216,2024-04-25T00:57:24Z,2024-04-25T00:57:24Z,1,Too high a score
@LaFlamexYeezy,2024-04-24T17:42:18Z,2024-04-24T17:42:18Z,0,How come it says Nov 16. When the album came out 22nd Nov
@RyanStronach,2024-04-23T14:20:49Z,2024-04-23T14:20:49Z,1,Let me get this straight: The music is fantastic in every way but you weren&#39;t vibing with the message so the album is a 6? Absolute nonsense 😂
@CaselliEntertainment,2024-04-21T23:31:15Z,2024-04-21T23:31:15Z,1,"I disagree Anthony, this is a 10/10"
@SABRESOLDIER,2024-04-12T13:39:25Z,2024-04-12T13:39:25Z,4,I agree with him
@jo4n__p4bl07,2024-04-08T15:42:10Z,2024-04-08T15:42:10Z,7,dude ur delusional pls dont speak again do me a favour
@jcccartoons2984,2024-03-31T02:48:30Z,2024-03-31T02:48:30Z,7,no one cares lil bro
@ChaseLeGrow-pb6th,2024-03-29T14:45:06Z,2024-03-29T14:45:06Z,5,"S T R O N G L Y disagree, have a nice day!"
