author,published_at,updated_at,like_count,text,sentiment
@requiem165,2024-06-20T21:33:53Z,2024-06-20T21:33:53Z,0,nice,4
@Navaneeth-hv9sh,2024-06-15T08:10:55Z,2024-06-15T08:10:55Z,2,He didn&#39;t like it because it wasn&#39;t as twisted as his melon fantasy,2
@Dinosaur12349,2024-06-15T07:43:17Z,2024-06-15T07:43:17Z,2,I swear he called this album overrated in this review. Am I tweaking,1
@MadeByMiloz,2024-06-07T07:42:01Z,2024-06-07T07:42:01Z,2,i saw &quot;13 years ago&quot; and thought wtf mbtf did not release in 2007 then i clicked on more and realized it was in 2010 (TFMMFO),1
@-Anonymous-.,2024-06-07T05:23:45Z,2024-06-07T05:23:45Z,0,Disagree about the hooks lmao,2
@stsddsod,2024-06-06T02:55:19Z,2024-06-06T02:55:19Z,1,Imma give this dislike button a 6/10,1
@sqyx93,2024-06-04T01:43:52Z,2024-06-04T01:43:52Z,2,“I did not care for the godfather”,1
@HeDoubleHockeysticks0,2024-05-28T10:08:48Z,2024-05-28T10:08:48Z,7,You gave sexyy reds album more than mbdtf wow,5
@chickensofdeath490,2024-05-23T00:25:18Z,2024-05-23T00:25:18Z,4,Yeah ive just listened to this Album and now I understand how terrible this review is lmao,1
@toucansam4732,2024-05-21T13:07:42Z,2024-05-21T13:07:42Z,4,"i bet if kanye had 200 monthly listeners, this would be a masterpiece, dumbass melon",1
@aumin3961,2024-05-06T23:30:03Z,2024-05-06T23:30:03Z,6,Maybe Thanos was right...,3
@eduardozepol2000,2024-05-05T21:06:16Z,2024-05-05T21:06:16Z,5,"As of May 2024, this review has about 68k dislikes",1
@SussyLuch-Clips,2024-05-04T14:48:36Z,2024-05-04T14:48:36Z,6,atleast kanye has a wife,5
@spongbong0,2024-04-25T01:49:33Z,2024-04-25T01:49:33Z,0,i respect your opinion.,5
@floydharper1216,2024-04-25T00:57:24Z,2024-04-25T00:57:24Z,1,Too high a score,1
@LaFlamexYeezy,2024-04-24T17:42:18Z,2024-04-24T17:42:18Z,0,How come it says Nov 16. When the album came out 22nd Nov,1
@RyanStronach,2024-04-23T14:20:49Z,2024-04-23T14:20:49Z,1,Let me get this straight: The music is fantastic in every way but you weren&#39;t vibing with the message so the album is a 6? Absolute nonsense 😂,1
@CaselliEntertainment,2024-04-21T23:31:15Z,2024-04-21T23:31:15Z,1,"I disagree Anthony, this is a 10/10",5
@SABRESOLDIER,2024-04-12T13:39:25Z,2024-04-12T13:39:25Z,4,I agree with him,4
@jo4n__p4bl07,2024-04-08T15:42:10Z,2024-04-08T15:42:10Z,7,dude ur delusional pls dont speak again do me a favour,1
@jcccartoons2984,2024-03-31T02:48:30Z,2024-03-31T02:48:30Z,7,no one cares lil bro,1
@ChaseLeGrow-pb6th,2024-03-29T14:45:06Z,2024-03-29T14:45:06Z,5,"S T R O N G L Y disagree, have a nice day!",4
@ackee39,2024-03-23T02:00:08Z,2024-03-23T02:00:08Z,12,iconic internet moment. ive never seen people get this universally angry at a guy saying a thing was just pretty good instead of amazing. this dislike bar will be studied by historians centuries into the future.,5
@EricRandhel-np3tr,2024-03-20T14:56:20Z,2024-03-20T14:56:20Z,1,This was uploaded on my 6th birthday,5
@Neeeeecko,2024-03-18T15:11:14Z,2024-03-18T15:11:14Z,0,Reviewing vultures1.... Atleast anthony&#39;s consistent.,4
@mysteries_117,2024-03-18T10:30:24Z,2024-03-18T10:30:24Z,0,In 2077<br><br>Fantano review is in the history books,3
@KanyeWestLover1940,2024-03-18T02:32:46Z,2024-03-18T02:32:46Z,2,You are bald and divorced knd ragards carlie lasso. <br><br>P.S. You are not nice and should never reproduce.<br><br>P.P.S. I am 10 yers old and alredy no mor than u<br><br>P.P.P.S. My dad drunk al the alcehole in the hose and now my mummy is mad! 😠 <br><br>P.P.P.P.S. I wood beet u in a figt!,1
@zackzallie8735,2024-03-16T12:43:54Z,2024-03-16T12:43:54Z,2,I&#39;m not a huge Kanye fan but this album aged like fine wine. Every song feels so different and the production is so grandeur. Not a 10 but it&#39;s close,3
@Apxcalypse,2024-03-13T00:37:01Z,2024-03-13T00:37:01Z,0,"This is scarily similar to the vultures review, fantano been a ye hater since day 1, I lowk respect it",1
@WhatSmada,2024-03-12T05:12:33Z,2024-03-12T05:12:33Z,0,the sound on this is ass,3
