author,published_at,updated_at,like_count,text
@bronzite_,2024-06-14T22:16:02Z,2024-06-14T22:16:02Z,0,"im not gonna lie this is a 10/10 perfect album for me. has some of the best songs ive personally ever heard in my life, and in the case of Unfold, perhaps the best song i’ve ever heard. if anything deserves a 10, it’s nurture."
@thedoodlyboy,2024-06-06T21:14:14Z,2024-06-06T21:14:14Z,0,“This feels like what living in animal crossing must be like” best way to describe nurture
@reeb3687,2024-03-09T15:33:28Z,2024-03-09T15:33:28Z,1,this album is a 10 but its okay we all make mistakes fantano
@Lb_Collects,2024-03-02T00:04:16Z,2024-03-02T00:04:16Z,4,"It&#39;s my favourite album of all time - and i&#39;m not a huge EDM fan, but something about this album - just hits spots i never knew needing hitting"
@NuggetsCode,2023-12-04T10:38:48Z,2023-12-04T10:38:48Z,3,I’m aware he’s not gonna see this but I just think dullscythe is an incredible track to follow mother about the disarray when moving out and finding stability in that
@cashmsc,2023-11-04T07:29:28Z,2023-11-04T07:29:28Z,0,No way he calls nurture the “discovery of this generation” and still only gives it an 8
@ethan2k297,2023-09-28T09:36:47Z,2023-09-28T09:36:47Z,8,Most 9 sounding 8 i’ve ever seen
@scumxixx,2023-09-25T23:42:07Z,2023-09-25T23:42:07Z,4,This has become my favorite album of all time
@Kachizou,2023-08-29T15:06:53Z,2023-08-29T15:06:53Z,3,"I wonder if Porter knew the influence this man had on EDM, hyperpop and even stuff like glitchcore, glitchbreak just from this ONE ALBUM"
@Revealingstorm.,2023-08-29T05:24:10Z,2023-08-29T05:25:20Z,2,It&#39;s been two years already since this released. My god
@shaneverse,2023-07-20T11:37:38Z,2023-07-20T11:37:38Z,13,All the real ones love dullsythe
@hawtdawg877,2023-05-23T23:33:44Z,2023-05-23T23:33:44Z,7,You know you&#39;ve achieved your magnum opus when Fantano rates your album above 5
@pixelperfect1729,2023-02-24T04:04:39Z,2023-02-24T04:05:43Z,3,"“Nurture is the Discovery of this generation” is all the proof I need to assume that he either secretly thinks both albums are a 10, or he thinks that our generation is worse than his."
@pixelperfect1729,2023-02-17T05:21:35Z,2023-02-17T05:21:35Z,3,"Dullscythe is a bit of an oddball, but I don’t really see it as poorly paced or incoherent at all. To me it sounds like a song being written in real time."
@swatchcovers5401,2023-01-16T16:28:18Z,2023-01-16T16:28:18Z,6,The piano piece on wind tempos and blossom is some of the best music I’ve heard in a minute.
@gamalielbontilao3679,2022-12-12T14:04:50Z,2022-12-12T14:04:50Z,1,"Worlds to me is still his best album. Peak EDM.<br><br>For this one, Nurture, I actually expected it to be scored 7 since some parts of it felt repetitive. 8 is a really good review that I wouldn&#39;t complain with."
@jessefobare2549,2022-10-26T19:41:27Z,2022-10-26T19:41:27Z,2,The beginning of wind tempos reminded me a lot of All My Friends lol
@iBolt07,2022-09-08T18:22:32Z,2022-09-08T18:22:32Z,8,"9/10 one of the best, most impactful edm records I&#39;ve heard"
@Old_school02,2022-08-09T04:12:29Z,2022-08-09T04:12:29Z,2,When I have found his music and started listening to his album sometime earlier this year it was such a different type of music and it completely changed my life and the way I view music. The music has also made me become more one with nature because of that laying in a grassy field feeling that the album gives you. I do agree there are some songs that don&#39;t make sense but other than that it&#39;s a beautifully written and composed album.
@freddysamjacob363,2022-07-31T09:52:32Z,2022-07-31T09:52:32Z,7,Discovery is now a 10 for him. Which only makes this praise even more amazing
@fritzjackson4336,2022-07-29T22:12:39Z,2022-07-29T22:12:39Z,2,Porter gets a 9 and thundercat gets 6. This is why needledrop will go down as the absolute worst reviewer in the game.
@SgtSmugleaf,2022-07-26T13:48:34Z,2022-07-26T13:48:34Z,2,FT better
@lindokuhlenhlapho_17,2022-07-13T18:47:20Z,2022-07-13T18:47:20Z,2,Look at the sky I&#39;m still here I&#39;ll be alive next💚
@emiliomonroy7929,2022-07-03T22:51:43Z,2022-07-03T22:51:43Z,1,"This album is just beautiful, i didnt know Poter so i wasn&#39;t expecting the electronic sound at all when i listen to it, from the art cover i was expecting something more acoustic, so it completely blew me away, i can&#39;t belive such concepts could be mixed and coincided so well thogether, the statement: &#39;&#39;AI meats nature&#39;&#39; is 100% accurate when describing this album, beautiful."
@countyfacts6920,2022-06-20T14:24:41Z,2022-06-20T14:24:41Z,69,"Timestamps:<br>Background: <a href=""https://www.youtube.com/watch?v=NKtqB-SFIaw"">0:00</a><br>Lifelike: (not present)<br>Look At the Sky: <a href=""https://www.youtube.com/watch?v=NKtqB-SFIaw&amp;t=170"">2:50</a><br>Get Your Wish: <a href=""https://www.youtube.com/watch?v=NKtqB-SFIaw&amp;t=219"">3:39</a><br>Wind Tempos: <a href=""https://www.youtube.com/watch?v=NKtqB-SFIaw&amp;t=253"">4:13</a><br>Musician: <a href=""https://www.youtube.com/watch?v=NKtqB-SFIaw&amp;t=297"">4:57</a><br>Do-re-mi-fa-so-la-ti-do: <a href=""https://www.youtube.com/watch?v=NKtqB-SFIaw&amp;t=312"">5:12</a><br>Mother: <a href=""https://www.youtube.com/watch?v=NKtqB-SFIaw&amp;t=333"">5:33</a><br>Dullscythe: <a href=""https://www.youtube.com/watch?v=NKtqB-SFIaw&amp;t=344"">5:44</a><br>Sweet Time: <a href=""https://www.youtube.com/watch?v=NKtqB-SFIaw&amp;t=371"">6:11</a><br>Mirror: (not present)<br>Something Comforting: <a href=""https://www.youtube.com/watch?v=NKtqB-SFIaw&amp;t=384"">6:24</a><br>Blossom: <a href=""https://www.youtube.com/watch?v=NKtqB-SFIaw&amp;t=389"">6:29</a><br>Unfold: <a href=""https://www.youtube.com/watch?v=NKtqB-SFIaw&amp;t=392"">6:32</a><br>Trying to Feel Alive: <a href=""https://www.youtube.com/watch?v=NKtqB-SFIaw&amp;t=402"">6:42</a><br><br>Final Thoughts: <a href=""https://www.youtube.com/watch?v=NKtqB-SFIaw&amp;t=406"">6:46</a><br>Score: <a href=""https://www.youtube.com/watch?v=NKtqB-SFIaw&amp;t=520"">8:40</a><br>Tran: <a href=""https://www.youtube.com/watch?v=NKtqB-SFIaw&amp;t=524"">8:44</a>"
@tebetheia,2022-06-14T20:21:16Z,2022-06-14T20:21:16Z,5,Nurture has changed my life. Makes me cry every time
@jameswilson4328,2022-06-14T15:31:41Z,2022-06-14T15:31:41Z,9,"This album has been my self care for the last 6 months. Been to see Porter&#39;s live show featuring Nurture twice now since April, and its an absolutely positive, feel good, sensation. So grateful to have been re-discovering his music at this time and to be there for the live performances."
@YesThisIsJamesWier,2022-06-02T21:42:25Z,2022-06-02T21:42:25Z,4,This album sounds like frolicking through a grass filled valley in heaven
@skeletr0n_music,2022-05-06T16:58:58Z,2022-05-06T16:58:58Z,4,Completely agree. I literally have zero criticisms about your criticisms.
@catguy2304,2022-04-26T14:14:45Z,2022-04-26T14:14:45Z,0,Burn in hell forever
@JQ3B94,2022-04-26T11:05:42Z,2022-04-26T11:05:42Z,7,This video is part of nurture live now
@ButterGames6,2022-04-11T21:26:31Z,2022-04-11T21:26:31Z,2,"Just came back from his nurture live show, was absolutely amazing!"
@pyker1,2022-03-05T15:53:43Z,2022-03-05T15:53:43Z,0,:
@riley6875,2022-02-25T08:39:44Z,2022-02-25T08:39:44Z,3,"i dont really agree that it has themes rooted in escapism like worlds. worlds was very much making songs out of stories, while the narrative of nurture is focused on porter himself/the struggles hes faced. its one of the reasons i like it so much, its more honest, and the sounds really reflect that. on a different note i wouldnt call nurture feel good and/or blissful. its not really sad either, but i just wouldnt really call it happy."
@kathiasoriano3043,2022-01-30T16:12:08Z,2022-01-30T16:12:08Z,1,What&#39;s the album in the background?
