author,published_at,updated_at,like_count,text
@elizabethhorvath2625,2024-06-18T14:10:50Z,2024-06-18T14:11:29Z,0,"this album is one of the only ones to creatively capture religious trauma and the sense of unwellness you carry with you as a woman, you would never understand it and you&#39;re bald so why should any of us care what you think anyway"
@zldeks,2024-06-11T18:38:58Z,2024-06-11T18:38:58Z,0,… i hate you real bad
@blawww3431,2024-06-11T14:35:40Z,2024-06-11T14:35:40Z,0,Wrong it’s a 9 or a 10 😢
@gordonramslay9955,2024-06-10T02:19:05Z,2024-06-10T02:19:05Z,0,"Damn bro, you’re loud and wrong"
@theodorhartmann7890,2024-06-07T18:51:44Z,2024-06-07T18:51:44Z,0,"my friend paul thinks ur lost and dumb, he says its an 8"
@AnaDognini,2024-06-06T16:31:21Z,2024-06-06T16:31:21Z,0,Men will never understand this album
@vanilladeodorant,2024-06-03T16:16:06Z,2024-06-03T16:16:06Z,0,he’s bald… HES BALD AND TORTURING EVERYONE WHO HAS HAIR!!!
@hobobobo5244,2024-06-03T07:59:44Z,2024-06-03T07:59:44Z,0,This is your worst video
@saif_shahid1,2024-05-30T17:36:32Z,2024-05-30T17:36:32Z,1,"what is this, melon?"
@gayvancowboyy,2024-05-30T12:50:23Z,2024-05-30T12:50:23Z,0,"Y’all remember that video of that guy screaming about Glinda being a princess, that’s the energy I feel right now lol. GROWWW UP"
@gayvancowboyy,2024-05-30T12:45:15Z,2024-05-30T12:46:19Z,0,The statement “I expected something darker” from Preacher’s Daughter is pretty crazy lmao but alas it is a very slow burn. It’s one of those works that has to catch you at the right time to click. Took me about a year of listening for it to fully resonate
@Angel-ct8rx,2024-05-26T03:37:14Z,2024-05-26T03:37:14Z,1,6 for this album it&#39;s insane omg
@jameshulme651,2024-05-25T18:59:55Z,2024-05-25T18:59:55Z,0,this album is an 11 sorry
@TheMonster821,2024-05-19T07:38:54Z,2024-05-19T07:38:54Z,1,WHAT THE EFUCK
@nobonemarrow,2024-05-15T20:49:34Z,2024-05-15T20:49:34Z,1,horrendously wrong about an incredible album done by a woman yet again.. fucking yawn dog
@SingingInferno,2024-05-14T03:07:44Z,2024-05-14T03:07:44Z,0,"This album DOES feel a bit like &quot;we have Lingua Ignota at home&quot; but I think her next album will likely be a huge standout. Good foundation, just needs some tweaking. I enjoyed what this had to offer, but I did leave it wanting something a little more harrowing."
@_saint_magda,2024-05-09T10:26:36Z,2024-05-09T10:26:36Z,0,this was/is a fantastic self produced record. it’s giving hater. grow up brother
@OBBOYS,2024-05-06T04:29:14Z,2024-05-06T04:29:14Z,0,"Pls review inbred, I’m curious about your thoughts"
@KieraNightly,2024-05-03T20:56:15Z,2024-05-03T20:56:15Z,0,I am sick when you just start shitting on it ripping it apart
@whoslistening,2024-05-01T22:30:37Z,2024-05-01T22:30:37Z,2,Bro gives mumble rappers a higher rating than Ethel? wild.
@imageofanapple4455,2024-04-26T09:01:20Z,2024-04-26T09:01:20Z,1,Sun bleached flies is NOT dragged out 😭😭 it&#39;s good
@fub3747,2024-04-23T21:45:26Z,2024-04-23T21:45:26Z,0,bruh
@augustonardinsauer4861,2024-04-20T11:50:16Z,2024-04-20T11:50:16Z,0,I just can’t see a world where you would rate this 6. I guess it has a lot to do with how hard it can be for a man to connect with the pain of a trans artist
@natabat4998,2024-04-20T06:23:58Z,2024-04-20T06:23:58Z,1,This album is easily a masterpiece 10/10 for me idk what this guy is on about
@LydiaTaylorMusic,2024-04-15T03:44:16Z,2024-04-15T03:44:16Z,0,Shouldve listened to it 5 or 6 more times. It&#39;s now in my top 5 albums tbh but i agree the slow progression makes it one that has to grow on you.
@constantlychangin,2024-04-14T00:32:54Z,2024-04-14T00:32:54Z,1,You stay lackin!!!!! 🎉 cause of shit like this
@cassiemagann8014,2024-04-13T01:34:27Z,2024-04-13T01:34:27Z,1,I recently had a dream that a mob boss kidnapped me and then he put one of his cronies in charge of watching me. Of course we fell in love and he let me go but I came back to him because our love was so strong. After I came back he morphed into Anthony Fantano and then I proceeded to give him hell for rating this album 6/10. One of the best dreams I’ve ever had.
@pengu6021,2024-04-12T20:09:52Z,2024-04-12T20:09:52Z,2,once again wrong
