author,published_at,updated_at,like_count,text,sentiment
@KeltikManEater,2024-06-03T23:32:36Z,2024-06-03T23:32:36Z,1,bro just say sorry,1
@ignaciosxl222,2024-05-30T13:31:26Z,2024-05-30T13:31:26Z,0,Macadelic was underrated too,4
@DaHomieRoach,2024-05-19T18:57:37Z,2024-05-19T18:57:37Z,1,Pandering of the highest order,1
@SpikeTaunt,2024-05-15T23:57:08Z,2024-05-15T23:57:08Z,2,giving it a 8 bc he died will never not be funny,1
@cnhwill1990,2024-05-14T04:45:31Z,2024-05-14T04:45:31Z,2,A 3 was ridiculous,1
@maniacmike1027,2024-05-13T05:10:56Z,2024-05-13T05:10:56Z,1,now he need to do a redux on The Divine Feminine. He didnt give that album a fair review and score,2
@anthonycelestin3559,2024-04-20T23:33:16Z,2024-04-20T23:33:16Z,5,"This album review is wack. Don’t even review my music in the first place if you don’t appreciate my music when I was alive. <br><br>It seems cynical for Fantano to review a Mac Miller project that deals with substance abuse and he didn’t feel the lyrical content of Mac’s issues being authentic when he first reviewed the album but his struggles of substance abuse was only authentic after he died. <br><br>It’s offensive and disingenuous to review Mac Miller album positively after his death cause u never cared for the struggles this man was going through when he was alive. <br><br>And that’s the problem with Fantano, hes bias and judgmental. Fantano refused to review Kanye’s album based on offensive things he said, reviewed XXXtentacion’s music harshly due to his legal issues, ignorantly called Lil Baby a Young Thug clone until he released The Bigger Picture and had some many other bias ways he reviews music &amp; artists.<br><br>Fantano ignorantly put Mac Miller in a category of a Frat boy rapper like a Asher Roth but he evolved from that but he couldn’t get away from his prejudices no matter how Mac evolved through the times. <br><br>The problem with Fantano is that he’s bias, ignorant, judgmental and not objective about music especially hip hop music, that’s why it’s hard to take his reviews seriously",1
@AiMXIII,2024-04-12T01:11:34Z,2024-04-12T01:11:34Z,2,If Mac was still alive he wouldn&#39;t have changed his review,1
@cowesy04,2024-04-01T03:58:25Z,2024-04-01T03:58:25Z,0,I didn’t like his slower stuff either at first.  Now I can’t get enough of it.,2
@Lxrzo,2024-03-30T22:34:31Z,2024-03-30T22:34:31Z,5,this is only because he died and u cant convince me,1
@straightouttazambia2835,2024-03-28T09:59:23Z,2024-03-28T09:59:23Z,1,This is the moment I realized that Fantano just says whatever could get him the most engagement. Ain&#39;t no way you&#39;re gonna tell me that bro dying made you realize that his album was actually good 😂😂 so corny.,5
@wasssup3205,2024-03-10T02:29:53Z,2024-03-10T02:29:53Z,0,Fair points. But please. Don’t try to sing.,3
@OfficialPrinceEden,2024-03-09T05:15:28Z,2024-03-09T05:15:28Z,0,Swimming was like a memoir,5
@crissy541,2024-03-06T19:49:31Z,2024-03-06T19:49:57Z,0,Ladders is an incredible song. That song alone makes this album a 9  in my opinion.,5
@thebaseballchad9256,2024-02-24T06:50:54Z,2024-02-24T06:50:54Z,0,One of the most emotional albums that will hit your soul every time. Glad you saw the light and appreciated this album. Rest In Peace Malcolm.,5
@nothinginhiding,2024-02-23T15:58:51Z,2024-02-23T15:58:51Z,0,Remember when Anthony gave this album a 3 while making fun of it for 5 minutes,3
@smh-TV,2024-02-16T17:53:27Z,2024-02-16T17:53:27Z,0,"It is an 8 minimum so I’m glad Mellon made the right choice in reduxing his review. A 3 is just too low on the original. Even if you aren’t a fan of Mac, the production value alone of swimming, mixed with Mac’s flow, emotional creative concepts intertwined together makes this an 8+. I’d give it a 9. It’s crazy how many parallels there was between his life &amp; death, the joy he gave hip hop people and general while also fighting substance abuse. You can feel and hear his mind coming together to make something spectacularly sad but healing for others who can relate. Mac is a legend. Rip.",3
@genogenogen0,2024-02-16T02:54:40Z,2024-02-16T02:54:40Z,0,we finally won,5
