author,published_at,updated_at,like_count,text,sentiment
@jasaih7220,2024-04-04T16:17:59Z,2024-04-04T16:17:59Z,0,rip bh sat trilogy is so good,5
@Billiamwoods,2023-08-24T18:16:00Z,2023-08-24T18:16:00Z,0,"I can&#39;t be the only one who thinks this is easily one of their worst albums. I don&#39;t know what it is, but the songwriting, hooks and vocal effects are just night and day between even just this and Sat2 for me.",1
@oldsammyboy8916,2023-06-10T03:12:41Z,2023-06-10T03:12:41Z,0,how is face your least fav what,1
@alphalax7747,2023-02-16T14:44:06Z,2023-02-16T14:44:06Z,1,These guys are the only examples i know of good ripoffs,1
@josh1300wht,2023-01-31T06:41:35Z,2023-01-31T06:41:35Z,0,2023?,1
@teste_juggler,2022-12-05T00:40:55Z,2022-12-05T00:40:55Z,3,the beginning of something amazing,5
@ceebad8985,2022-12-04T11:51:25Z,2022-12-04T11:51:25Z,2,Damn it’s all over 😢.,1
@bojiden9830,2022-11-30T14:24:58Z,2022-11-30T14:24:58Z,1,I can&#39;t believe this is already 5 years old,1
@Kyoko_,2022-11-29T10:05:43Z,2022-11-29T10:05:43Z,5,"This was the first Hip Hop/Rap album I ever really connected with back in Winter 2017 and I checked it out because of this review. I remember working at shoe store for shit wage, age 24, cleaning the staff bathroom, listening to this for the first time because Anthony sounded so ecstatic about the album. I was nearly moved to tears when WASTE finished. I listened to the album a second time immediately. The BOOGIE video dropped like a week later and the rest is history.",1
@willstrickland7110,2022-11-28T16:35:39Z,2022-11-28T16:35:39Z,41,"Coming back to this following The Family and TM’s release is bittersweet. No matter how good something seems, it could end in just a few days, months, or for BH years. Take time to appreciate memories as they’re being created!",5
@davidcremin3837,2022-11-25T01:18:30Z,2022-11-25T01:18:30Z,15,Good times,4
@nikeythm6519,2022-11-23T17:59:34Z,2022-11-23T17:59:34Z,33,When and where did it all go wrong…,1
@pigeoned,2022-11-23T07:38:01Z,2022-11-23T07:38:01Z,51,who else is here after he gave the albums a 3 and 4/10,3
@chasesturgeon1151,2022-11-23T06:17:12Z,2022-11-23T06:17:12Z,14,here after TF and TM reviews 😢😢,5
@fucksleepordie,2022-11-22T02:53:42Z,2022-11-22T02:53:42Z,12,i miss the band already,2
@Mointler,2022-11-20T21:06:17Z,2022-11-20T21:06:17Z,3,watching this in late 2022.. sad times lol,1
@ciaoitalo,2022-11-04T02:42:32Z,2022-11-04T02:42:32Z,6,Man the way anthony describes heat just gets me PUMPED,5
@jacktheripper6909,2022-09-10T03:17:49Z,2022-09-10T03:17:49Z,8,What i’d do to go back in time man…,5
@smalltok4638,2022-06-24T18:32:32Z,2022-06-24T18:32:32Z,5,"This video came out on my birthday 5 years ago, thank you anthony! Really enjoyed this revisit to your review. It&#39;s a shame this was your last video, rest in peace",5
@ahmedareeb1576,2022-03-18T01:43:31Z,2022-03-18T01:43:31Z,3,FACE IS SO GOOOD!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,1
@707outxo3,2022-03-11T03:33:48Z,2022-03-11T03:33:48Z,10,"“every track is great, too bad kevin is gay 3/10” man",3
@cheez617,2022-01-15T14:06:31Z,2022-01-15T14:06:31Z,1,: (,3
@blankexpression3,2022-01-14T19:19:00Z,2022-01-14T19:19:00Z,2,I love and I&#39;ll always love BROCKHAMPTON. Hope they reunite soon and I really hope that bearface drops a solo project.,5
@m-tetsuo,2022-01-03T10:12:18Z,2022-01-03T10:12:18Z,0,Almost unsubscribed because of rating this shit boyband a 9 - but then I saw the rating for Ariel Pink and Badbadnotgood,1
@taurusrk2006,2021-10-18T13:50:02Z,2021-10-18T13:50:02Z,2,I&#39;m going through all your video to just disslike,1
@jackely3300,2021-08-29T20:01:55Z,2021-08-29T20:01:55Z,5,This album has aged the best out of all the saturation projects imo,5
@nicke.424,2021-07-22T05:10:22Z,2021-07-22T05:11:16Z,8,I remember when these guys were still small and I went to the topic video for bump with only twenty comments. One guy just said “?” Lol,1
@dracks.3590,2021-06-25T05:41:38Z,2021-06-25T05:41:38Z,6,Best saturation’s out of all 3,5
@qhoever,2021-06-19T18:43:23Z,2021-06-19T18:43:23Z,1,face is still the second best track on this album man I can&#39;t believe it&#39;s his least favorite,5
@fbtark1734,2021-06-16T12:16:16Z,2021-06-16T12:16:16Z,0,Is Gold on Fifa 21?,1
@Nanhabby123,2021-04-26T07:00:21Z,2021-04-26T07:00:21Z,301,"Album was ahead of it’s time. Literally, he’s wearing a face mask.",1
@hayden7062,2021-04-23T04:46:16Z,2021-04-23T04:46:16Z,2,"What I don&#39;t understand, is how american boyfriend was on why you no review, yet melon is singing the albums praises at the beginning here 😑",5
@Cjhardin93,2021-04-15T14:51:58Z,2021-04-15T14:51:58Z,8,Ameer wearing that mask trying to tell us years in advance,5
@MrGetownedLP,2021-04-13T19:53:02Z,2021-04-13T19:53:02Z,1,What a legendary review and put me on Brockhampton but still shocked to see Face as least fav :( but I see what you&#39;re saying with that track,4
@eliotguerin192,2021-04-09T09:04:14Z,2021-04-09T09:04:14Z,3,The masked fella on this album cover predicted the pandemic,1
@georgearubi1241,2021-04-06T05:07:56Z,2021-04-06T05:07:56Z,0,Do &quot;As Above So Below&quot; by ANKHLEJOHN,3
@mazasis_princas456,2021-03-27T19:14:30Z,2021-03-27T19:14:30Z,0,Gei,5
@tommybahama4418,2021-03-26T14:11:01Z,2021-03-26T14:11:01Z,1,MERLYN!,5
@zachstutland5241,2021-02-18T18:09:55Z,2021-02-18T18:09:55Z,27,"HOW IS WASTE NOT A LIKED SONG, that’s one of the best closers of the decade, up there with To Be Kind and Guest House",2
@k.morningstar7983,2021-02-12T21:02:10Z,2021-02-12T21:02:10Z,1,here from the future to tell you that BOOGIE sends me flying out of the back of an ambulance going full speed down the highway,5
@claudiagabriela2433,2021-01-05T21:53:42Z,2021-01-05T21:53:42Z,0,FACE is prob my fav brockhampton song wth,5
@somethung8188,2020-12-30T16:33:32Z,2020-12-30T16:34:07Z,3,Melon I can&#39;t believe pretended to wear a burqa for 11 minutes and screamed Islamaphobic slurs. Horrible &quot;review&quot;,1
@username-ds6kf,2020-12-18T05:19:10Z,2020-12-18T05:19:10Z,0,Loved it,5
@frankcastle279,2020-12-10T05:14:37Z,2020-12-10T05:14:37Z,0,i agree.,3
@jamesmcgarry4770,2020-11-24T18:22:21Z,2020-11-24T18:22:21Z,10,"I think this should have been a 10, but you bring some great and honest points. I respect your opinion completely. Unsubbed",4
@a.j.animations2235,2020-10-31T23:12:34Z,2020-10-31T23:12:34Z,2,We all know where we were when you heard the beat drop to swim for the first time,5
@farhannr28,2020-10-06T17:22:55Z,2020-10-06T17:22:55Z,1,Anthony &quot;I have an ability to break an artist&quot; Fantano,1
@mattcook3291,2020-09-10T04:07:18Z,2020-09-10T04:07:18Z,0,"Cmon melon we’ve gone over this, WASTE should be in the fav tracks what’re you doing!?",1
@imalemon8423,2020-09-07T17:33:25Z,2020-09-07T17:33:25Z,0,face is good.,4
@Leadbraw,2020-07-30T17:09:45Z,2020-07-30T17:09:45Z,10,I got secrets only me and all my melons know,1
@eliotkersten2073,2020-07-30T07:46:04Z,2020-07-30T07:46:04Z,0,Imagine saying Brockhampton is for people who went to college nowadays,5
@CamDrums,2020-07-23T05:09:14Z,2020-07-23T05:09:14Z,1,MILK is the best track in my opinion,5
@bigtimebusinessman8978,2020-07-16T16:43:09Z,2020-07-16T16:43:09Z,1,"anthony’s, u scared me",5
@angelreed2276,2020-06-28T16:02:38Z,2020-06-28T16:02:38Z,1,How is WASTE not in ur favorite tracks???,1
@Cedrou21,2020-06-26T08:12:02Z,2020-06-26T08:12:02Z,0,Waste not in favs track ? you a joke melon,1
@nutmaster652,2020-05-30T21:58:27Z,2020-05-30T21:58:27Z,1,WASTE not a favorite track!? MELON.,1
@megan9627,2020-05-20T23:31:49Z,2020-05-20T23:31:57Z,0,i know you can&#39;t be referencing infatuation &gt;:(,1
@codealpha3462,2020-05-11T00:15:24Z,2020-05-11T00:15:24Z,0,Why every single least fav track in any fantano’s album review is my fav track,1
@anx46,2020-05-09T18:29:54Z,2020-05-09T18:29:54Z,0,□,5
@maxbogensberger3725,2020-05-05T19:31:26Z,2020-05-05T19:31:26Z,0,face was great:(,5
@worldwidewrestling2639,2020-04-14T03:23:31Z,2020-04-14T03:23:31Z,1,The fact that he gave  face the worst track just shows how great this album is.  I still feel like Face is one of the best on the album.,5
@FischerFilmStudio,2020-04-09T20:05:39Z,2020-04-09T20:05:39Z,0,FACE is so good!,5
@beeeater4875,2020-04-02T04:38:42Z,2020-04-02T04:38:42Z,0,LEAST FAV TRACK: FACE,3
@kobeyiskicho,2020-03-26T04:42:14Z,2020-03-26T04:42:14Z,0,"I’m happy this got a 9, but the way he was talking, I don’t get why he didn’t give it a 10",3
@okogao4659,2020-03-25T10:51:29Z,2020-03-25T10:51:29Z,0,how tf his least favorite track face,1
@eddymckeon4142,2020-03-18T21:35:28Z,2020-03-18T21:35:28Z,0,Honestly i appreciate your views,4
@aliesmith6822,2020-03-16T22:32:23Z,2020-03-16T22:32:23Z,2,Anthony&#39;s wearing the wife beater😳,5
@RootyTootTootin,2020-03-04T22:38:33Z,2020-03-04T22:38:33Z,2,If FACE is his least favorite you know it’s a great album. FACE is so good.,4
@MisterBubbl3s,2020-02-29T20:24:34Z,2020-02-29T20:24:34Z,2,"<a href=""https://www.youtube.com/watch?v=iBHjkRZQbv8&amp;t=612"">10:12</a> thats the first time ive heard a voice crack from melon",1
@cianscheer655,2020-02-07T03:47:07Z,2020-02-07T03:47:07Z,0,I liked FACE a lot. Jobas singing and the instrumental really make it for me. The lyrics arent much to me but I also really dig the flow,4
@farter2683,2020-01-31T04:34:08Z,2020-01-31T04:34:08Z,1,I like that Animals in the background,4
@dad7248,2020-01-25T22:00:58Z,2020-01-25T22:00:58Z,5,anthony fantano is dad,4
@hystericallotus,2020-01-19T14:51:24Z,2020-01-19T14:51:24Z,2,fake is the best song on this album,5
@spacecowboy3693,2020-01-03T00:25:39Z,2020-01-03T00:25:39Z,0,Brockhampton is for the zoomers melon. Don&#39;t take away Brockhampton from the zoomers.,1
@natedogsturdikat8538,2019-12-19T03:16:54Z,2019-12-19T03:16:54Z,2,LEAST FAVE TRACK FACE. Bro Anthony I know you’re my step dad and you’ll beat me for this but YOURE PLAYING RN. THAT IS A CAP. This is like saying Nikes is least fave smh,1
@loganjames7736,2019-12-17T07:33:26Z,2019-12-17T07:33:26Z,0,Wow.,5
