author,published_at,updated_at,like_count,text,sentiment
@xcidgaf,2024-06-17T22:15:01Z,2024-06-17T22:15:01Z,0,my hos r scared what do i do for everybody that been living it up what u do?,5
@entropyfu,2024-06-17T16:05:08Z,2024-06-17T16:05:08Z,1,wet meaty hands,2
@RaT27168,2024-06-11T20:06:26Z,2024-06-11T20:06:26Z,0,Better than charli xcx brat imo,5
@m.streicher8286,2024-06-11T17:30:05Z,2024-06-11T17:30:05Z,1,looking back? AOTY,1
@iwatchyoutube6000,2024-06-05T01:01:10Z,2024-06-05T01:02:04Z,0,Peggy will be seen as one of the greatest rappers of all time in like 20 years I’m calling it,5
@BigBrainGamer58,2024-05-25T19:50:41Z,2024-05-25T19:50:41Z,1,Usually I don’t agree with fantony antano but he’s 100% on this one,5
@yteerdcmyteey,2024-05-24T00:11:56Z,2024-05-24T00:11:56Z,1,it kinda remidns me of jpegmafia,3
@Samkonia4728,2024-05-23T14:58:52Z,2024-05-23T14:58:52Z,1,STH is TPAB for neurodivergent people,3
@gramuhrussia,2024-05-21T13:31:05Z,2024-05-21T13:31:05Z,0,<b>omni man crashes through wall</b> where’s orange juice jones melon,1
@noah-ux2cz,2024-05-19T22:31:18Z,2024-05-19T22:31:18Z,2,Hearing Anthony say shut yo bitch ass up in the most monotone way possible is amazing,5
@bluekoolaid11,2024-05-19T19:34:33Z,2024-05-19T19:34:33Z,2,whos watching this in 2046?😢,1
@justinlea8045,2024-05-13T17:11:09Z,2024-05-13T17:11:09Z,0,"Found this album hard to listen to at first but now I can’t get enough, such grimey production man, good shit right here!",5
@I_V_X,2024-05-04T22:43:02Z,2024-05-04T22:43:02Z,0,"Shut up did he make this using a 404, i just cant believe that",1
@AIM0STHERE,2024-04-27T21:43:49Z,2024-04-27T21:43:49Z,0,As soon as I heard red veil I thought it was Earl,1
@ImPeterrr,2024-04-19T08:51:55Z,2024-04-19T08:51:55Z,0,Mr fantano ehat the actual fack did you rate this album,1
@ImPeterrr,2024-04-19T08:51:27Z,2024-04-19T08:51:27Z,0,L,5
@ImPeterrr,2024-04-19T08:51:00Z,2024-04-19T08:51:06Z,1,wtf,5
@mistersniff3130,2024-04-16T22:49:11Z,2024-04-16T22:49:11Z,0,HE DOESNT MISS,3
@Sandypirs,2024-03-27T07:35:32Z,2024-03-27T07:35:32Z,0,The best,5
@kammington,2024-03-20T20:05:39Z,2024-03-20T20:05:39Z,0,hot,5
@anza2,2024-03-16T14:02:53Z,2024-03-16T14:02:53Z,2,scaring every pop listener,5
@I_dont_want_a_handle.,2024-03-07T13:44:36Z,2024-03-07T13:44:36Z,1,Am I stupid or did he change his least favorite track of the album from lean beef patty to run the jewels,1
@Oggidahh,2024-03-04T00:14:53Z,2024-03-04T00:14:53Z,1,Fit check is superior and most fanficully one of Ants mœç hahhwwt,5
@ViolettaX-gp8qk,2024-03-03T20:23:30Z,2024-03-03T20:23:30Z,4,This album is a 2/10 at best,2
@NickOwens,2024-02-24T04:30:35Z,2024-02-24T04:30:35Z,5,I love how casually he just drops the 9/10,5
@gregory2865,2024-02-21T15:08:06Z,2024-02-21T15:08:06Z,1,Crazy production. Great listen. Garbage pale kids and orange juice jones my favs,1
@Justachamp772,2024-02-20T20:45:55Z,2024-02-20T20:45:55Z,1,10 months later and this is a classic,5
@christianbrown9029,2024-02-10T15:21:39Z,2024-02-10T15:21:39Z,1,My favorite part of the name is that Danny Brown brought chose Scarin the Hoes after seeing a tik tok joking that their album should be called Scarin the Hoes,5
@mysteries_117,2024-02-09T08:46:37Z,2024-02-09T08:46:37Z,0,Now we know scared the hoes,5
@HairyNun,2024-02-07T11:14:42Z,2024-02-07T11:14:42Z,1,"I loved it at first but i think it&#39;s a high 7 for me in retrospect. I love the approach, but with that it feels like every song is trying to send the same message as the title.<br><br>Its impressive but its a bit like the hiphop equivalent of getting an album full of TOOL&#39;s weirder cuts. Great listen, but I&#39;d be more impressed to hear some tracks that push the envelope and define a new sound for the genre AND being catchy with the longevity that brings, not a collection of short lived &quot;wow&quot; moments.",3
@JmoneyLad72,2024-01-28T13:02:32Z,2024-01-28T13:02:32Z,4,after 30 years of loving this album I finally got bored of it,1
@jefcoble8827,2024-01-26T03:06:00Z,2024-01-26T03:06:00Z,3,I cant be the only one that thinks these songs sound like constant noise and racket as opposed to actual catchy music,1
@arthurarellanesiii4297,2024-01-25T08:11:33Z,2024-01-25T08:11:33Z,0,Sound like rthey definitely got style from everyone from Master&#39;s of the universe. Rad,5
@zatty232,2024-01-24T15:24:58Z,2024-01-24T15:24:58Z,1,God i hope they work together in the future again.,5
@lukeypukey6119,2024-01-24T04:25:43Z,2024-01-24T04:25:43Z,0,Played this at the pregame and there were only 7 guys there. Crazy how the album really did scare the hoes! 10/10,5
@demarcuswilliams548,2024-01-19T00:39:20Z,2024-01-19T00:39:20Z,0,jpegmafia is a cool artist but horrible person,1
@techboy2002,2024-01-17T20:44:30Z,2024-01-17T20:44:30Z,2,I’m tripping on 2cb rn and I swear ur hair follicles are bugging me the fuck out bro.,1
@basil_gamin,2024-01-11T19:12:44Z,2024-01-11T19:12:44Z,0,I just noticed csh in the background,3
@brandonleeweihan,2024-01-07T18:47:18Z,2024-01-07T18:47:18Z,0,Fantano pulled off that mask like velcro,1
@mikaelmilnikov,2024-01-02T19:38:55Z,2024-01-02T19:38:55Z,3,The album XXX is actually a studio album and not a mixtape,2
@SecondCitySavior6969,2023-12-31T12:53:30Z,2023-12-31T12:53:30Z,0,"They perfected the art of musical shitpost, Oliver Tree could never",5
@fabearodge1121,2023-12-30T21:11:59Z,2023-12-30T21:11:59Z,0,When I try listening to this I really don&#39;t like it too much I&#39;ve only listened to some of it. Is there something. I&#39;m missing I want to know.,2
@ttobarrosshow,2023-12-30T17:07:18Z,2023-12-30T17:07:18Z,3,That clapping... those were not hands,1
@BLUEPELICAN234,2023-12-30T09:46:37Z,2023-12-30T09:46:37Z,1,Most overrated album ever <br><br>It’s just loud nonsense.,1
@Sire_Kiwi,2023-12-26T01:06:06Z,2023-12-26T01:06:06Z,0,as probably the worlds newest canibus fan seeing the melon mention him was the most exciting moment of the day,5
@775.-,2023-12-24T07:05:43Z,2023-12-24T07:05:43Z,1,"So you gave peggy mafia light 9 just cause he&#39;s not fat other wise you would&#39;ve gave him fat 9 , now that&#39;s racist",1
@Dappis,2023-12-23T18:00:02Z,2023-12-23T18:00:02Z,1,Kingdom Hearts Key legit one of my all time favorite beats,5
@Hunter-jv1ld,2023-12-22T20:39:27Z,2023-12-22T20:39:27Z,2,2/10,2
@THE-REAL-MUFFIN-MAN,2023-12-21T20:05:45Z,2023-12-21T20:05:45Z,1,best album of the year,5
@baronvonbeandip,2023-12-11T21:50:58Z,2023-12-11T21:50:58Z,4,That they were doing this on a 404 is commendable. I fuckin hate that thing because my friends are Dilla worshippers with a background in &#39;lofi hip-hop beats to study to&#39; type shit.,1
@madeleinep.828,2023-12-06T23:33:21Z,2023-12-06T23:33:21Z,3,Never thought a song called Steppa Pig on an album called Scaring the Hoes would become one of my favorite songs of the year,5
@Hugh.Jass69,2023-11-27T01:42:09Z,2023-11-27T01:42:09Z,11,shuolda been a 10,5
@JRBeast-nw3xg,2023-11-21T17:21:41Z,2023-11-21T17:21:41Z,2,One of my favorite albums ever.,5
@ericthorpe5670,2023-11-21T15:05:19Z,2023-11-21T15:05:19Z,0,I saw this thumbnail and thought there was gonna be a Westside Gunn/Minions crossover. Guess dreams don&#39;t always come true,1
@Maratje2,2023-11-18T23:27:31Z,2023-11-18T23:27:31Z,1,"MY SCORE: Strong 9 to 10.<br><br>Peggy and Danny are a match made in heaven, and Scaring The Hoes shows it. The title alone is already pretty iconic. Perfect for replaying, and has been playing in my car nonstop since it came out. Might’ve had some weird looks from other drivers but that makes me love it more.<br><br>Least favorite: Jack Harlow Combo Meal (Still a banger though).",4
@rapwarz9,2023-11-16T17:24:27Z,2023-11-16T17:24:27Z,2,AOTY🔥🔥🔥🔥,5
