author,published_at,updated_at,like_count,text,sentiment
@Stream_of_unconsiousness,2024-06-20T06:39:15Z,2024-06-20T06:39:15Z,0,"Listenijg to this album... like, its not that bad lmao. I feel like it does come off the same way as captain beefheart lmao, like can we admit that blues in general is dissonant and fucking wacked out. Tom waits? Bob dylan? None of that shit is cohesive, but it sounds cool.",3
@sebastianm6458,2024-06-13T05:27:16Z,2024-06-13T05:27:16Z,0,EAT WHATS ON YOUR PLATE <br>FILL YOURSELF WITH HATE,1
@Humbledman632,2024-06-10T21:42:12Z,2024-06-10T21:42:12Z,0,No way people are saying Fanta o is wrong on this one☠️ kid cudi glazers can’t admit when an album is bad,1
@tonynamaste860,2024-06-07T12:42:25Z,2024-06-07T12:42:25Z,0,This album is amazing you cuck,5
@tonynamaste860,2024-06-07T12:41:25Z,2024-06-07T12:41:25Z,0,NO MORE CHICKEN SANDWICHES YES ILL PAY FOR THE DAMAGES,1
@isaiahromero9861,2024-05-25T21:40:26Z,2024-05-25T21:40:26Z,0,Whats that album behind him with the constellation,5
@yungbloods-yn8ei,2024-05-24T02:55:32Z,2024-05-24T02:55:32Z,1,"I love this album, ya&#39;ll can&#39;t change my mind",5
@Zynphkree,2024-05-13T02:03:22Z,2024-05-13T02:03:30Z,2,maybe if it was called to pimp a speeding bullet he wouldve given it a 10<br><br><br><br><br><br>as a side note i genuinely have never seen him this upset during a review he actually was being tortured by this album,1
@ketkash136,2024-05-11T15:25:56Z,2024-05-11T15:25:56Z,1,If the name of the album was To Pimp A Speedin Bullet 2 Heaven he would have given it a 10,3
@henryd98,2024-05-08T18:06:34Z,2024-05-08T18:06:34Z,2,I liked it,4
@massondouglas3796,2024-05-06T05:49:16Z,2024-05-06T05:49:16Z,1,Cudi fuckin rocks....this guy has never made anything but a reaction video,1
@bobcoolguy4,2024-04-23T17:17:12Z,2024-04-23T17:17:12Z,1,L,5
@Self-unaliver,2024-04-07T12:39:33Z,2024-04-07T12:39:33Z,0,At least we know Anthony isnt depressed,1
@joeMW284,2024-03-31T18:14:49Z,2024-03-31T18:14:49Z,2,Late to the party but... a zero? C&#39;mon now. This album destroys Angelic 2 the Core.. You threw Miley Cyrus and Her Dead Petz a bone and gave that trash a 1.. that&#39;s WAY worse than this. This album at least has some genuine emotion poured into it. I dig a handful of tracks on it.,1
@chaselove8708,2024-03-17T01:33:20Z,2024-03-17T01:33:20Z,5,I use to hate the album... But now I love it!!,5
@unknownarc,2024-03-03T15:24:11Z,2024-03-03T15:24:11Z,9,maturing is realising Fantano was wrong.,3
@jhndxtr9249,2024-02-20T08:46:15Z,2024-02-20T08:46:15Z,3,This album is a classic,5
@lincolnchaza9727,2024-01-21T19:01:19Z,2024-01-21T19:01:19Z,3,I like all Kid Cudi Albums they have this raw element of creative energy,5
@dr.aisaitl7439,2024-01-21T13:06:41Z,2024-01-21T13:07:48Z,6,"I&#39;m not saying Fantano was wrong to see this as a bad album or criticise the music. I think it&#39;s bad. But it was wack as fuck of him to personally attack Kid Cudi for his state of mind and drug addiction. He even recognized that many of Cudi&#39;s lyrics were extremely depressed and suicidal. For Anthony to not infer that Cudi was really struggling at the very least is really irresponsible, and calling an artistic work of him putting his suicidal thoughts on his sleeve as boring pretentious garbage seems in poor taste",1
@melvification,2024-01-18T05:42:17Z,2024-01-18T05:42:17Z,2,MELTING is a banger tho,1
@billysobolik,2024-01-11T00:42:52Z,2024-01-11T00:42:52Z,1,I can kinda groove to the first minute of &quot;Confused&quot; if I don&#39;t pay attention to the lyrics. That&#39;s just about the nicest thing I can say about this album.,5
@808sandheartbreaklover24,2023-12-28T20:20:19Z,2023-12-28T20:20:19Z,0,should I listen to this,5
@brazydondada,2023-12-28T13:00:25Z,2023-12-28T13:00:25Z,1,This is fantanos biggest video lol KING 👑 CUDI,5
