author,published_at,updated_at,like_count,text,sentiment
@trevensass3396,2024-06-21T03:18:02Z,2024-06-21T03:18:02Z,0,The only songs i know by Kendrick Lamar are:<br>1.  Bad blood with taylor swift<br>2.  Don&#39;t wanna know with Adam Levine and his band maroon 5,4
@friesrice,2024-06-21T01:50:27Z,2024-06-21T01:50:27Z,0,if this album was called &quot;to pimp a butterfly&quot; by denzel curry you wouldve given it a light 8,3
@aboodisq4348,2024-06-21T01:32:28Z,2024-06-21T01:32:28Z,0,i wanted to see what the hype was all about for tpab so ill react to it ig,1
@JataviusFrid,2024-06-16T20:42:08Z,2024-06-16T20:42:08Z,2,If it was called To Pimp a TPAB you would’ve given it a 10,1
@AnimasFace,2024-06-16T15:56:59Z,2024-06-16T15:56:59Z,1,I tried listening to TPAB for the first time as gentle background music. while doing a postgrad psych essay in 2015. Huge mistake,1
@orcazfn1279,2024-06-16T05:42:51Z,2024-06-16T05:42:51Z,1,If it was called “To Pimp A To Pimp A Butterfly” you would’ve given it a 10,1
@SkyQuakee,2024-06-16T01:27:41Z,2024-06-16T01:27:41Z,0,If this album was called &quot;to pimp a to pimp a butterfly butterfly&quot; you would have given it a 10,1
@rogeydude7987,2024-06-15T20:29:18Z,2024-06-15T20:29:18Z,0,Can’t believe melon sang the beginning to Wesley’s theory,5
@laithellabban,2024-06-14T13:49:47Z,2024-06-14T13:49:47Z,3,"this album is horrible, overrated is an understatement",1
@coldnoodllss,2024-06-12T14:17:51Z,2024-06-12T14:17:51Z,2,brat better,3
@xbonzai1770,2024-06-11T16:24:57Z,2024-06-11T16:24:57Z,3,Here after 10/10 BRAT lesgoo,5
@AISpongeLoudtonIsReal,2024-06-10T09:51:28Z,2024-06-10T09:51:28Z,6,I can hear the Sexyy Red influence in TPAB,5
@inker7323,2024-06-08T05:55:03Z,2024-06-08T05:55:03Z,9,It still baffles me how Lil Xan ghostwrote this whole album.,5
@markmann3707,2024-06-06T17:49:56Z,2024-06-06T17:49:56Z,6,Keem went crazy while writing this,1
@Shauryaizm,2024-06-06T04:11:45Z,2024-06-06T04:11:45Z,5,i could not for the life of me tolerate this stupid fucking album for more than 15 minutes,1
@nononoleavemebe,2024-06-06T01:49:59Z,2024-06-06T01:50:10Z,0,It&#39;s crazy that he called Kendrick&#39;s flow &#39;uppity&#39; on kunta,1
@jhettLar-gz5et,2024-06-03T23:58:44Z,2024-06-04T00:00:07Z,5,"Love the palpable excitement in this review, encapsulates many of my feelings so well.",5
@ShroomDoggyDogg,2024-06-03T21:37:17Z,2024-06-03T21:37:17Z,9,I’m new to this comment section and the trolling is killing me 🤣🤣🤣,5
@bobalan6614,2024-06-03T19:51:55Z,2024-06-03T19:51:55Z,4,This album makes me seriously wonder if I’m of this planet. The praise it gets for being so mediocre amazes me. Like I’m in some snobby museum and everyone is praising this silly painting with themes that have been done to death and a style that is interesting but not really enjoyable and I’m by myself confused. People call it the greatest album of all time.  All.  Time. I guess I’ll just need to be a minority. It boggles my mind some people hate the Beatles so I guess I understand those folks a little better now.,2
@rad_98,2024-06-02T18:40:18Z,2024-06-02T18:40:18Z,4,"just finished listening to this album. <br><br>man, its beautiful. i am glad i did.",5
@captus4920,2024-06-01T16:46:50Z,2024-06-01T16:46:50Z,5,I gave this album a try after all the hype. Not for me. 2/10,2
@joshywoshy_gh,2024-06-01T16:40:54Z,2024-06-01T16:40:54Z,4,I can’t believe baby keen ghost wrote all of his albums as a child,5
@KuhmeyaMayo,2024-06-01T14:12:37Z,2024-06-01T14:12:37Z,4,If this album was called &quot;to pimp a TPAB&quot; you would&#39;ve given him a 20/10,1
@jazz5434,2024-05-28T18:01:45Z,2024-05-28T18:01:45Z,3,"Dude, congrats on 7 million views, this number is absolutely insane for a record review (or any review at all)",1
@steampunkvgc6319,2024-05-27T13:03:18Z,2024-05-27T13:03:18Z,3,Nah bro YouTube knew what exactly they are doing. Why are they recommending this now💀,1
@navsbiggeststanandpersonal6138,2024-05-27T12:56:54Z,2024-05-27T12:56:54Z,1,“You just rapping like an activist its make belief. You don’t even go back to your hood and plant Money Trees.”,1
@navsbiggeststanandpersonal6138,2024-05-26T18:53:27Z,2024-05-26T18:53:27Z,1,J Cole is right about this album.,5
@bomboclaatman248,2024-05-26T16:08:43Z,2024-05-26T16:08:43Z,2,melon looks happy<br>was good day 9 yrs ago,4
@murathandinc488,2024-05-26T13:51:06Z,2024-05-26T13:51:06Z,0,"At first listen i gave this a 85 then bumped it to 88 to 93 to 95 to finally 99, i finally understand this magnificent work of art, amazing stuff.",5
@externalbias8982,2024-05-26T11:03:49Z,2024-05-26T11:03:49Z,0,Yes but drake,3
@captainramen8315,2024-05-25T16:36:18Z,2024-05-25T16:36:18Z,2,inspirational how yeat influenced this album and most of kendrick&#39;s sound,5
