author,published_at,updated_at,like_count,text,sentiment
@colourbasscolourbassweapon2135,2024-06-12T12:25:59Z,2024-06-12T12:25:59Z,0,Classic Dubstep,5
@egrillo5928,2024-06-01T22:15:21Z,2024-06-01T22:15:21Z,0,Why does he have hair,1
@diggasinparis,2024-05-27T05:30:08Z,2024-05-27T05:30:08Z,1,Literally Untrue by Burial,1
@SecretRain,2024-05-24T18:08:52Z,2024-05-24T18:08:52Z,0,"my favorite album of all time, no other record will resonate with me as much as this",5
@ricric9521,2024-04-28T05:06:00Z,2024-04-28T05:06:00Z,0,This review is missing a very important detail. Burial&#39;s masterpiece here uses all the attributes the reviewer discusses and creates emotional and humanistic stories. The crafted sounds and vocal samples take you on a visceral journey through the story he tells in most of these songs.,4
@vansdan.,2024-03-26T05:58:33Z,2024-03-26T05:58:33Z,1,its a sin to not mention dubstep as much as you did. this is PURE dubstep.,5
@isaacmalik3714,2024-03-22T23:26:15Z,2024-03-22T23:26:15Z,1,"this is my favourite album of all time, just a masterpiece",5
@sztigirigi,2024-01-30T21:22:49Z,2024-01-30T21:22:49Z,2,This is not music you review. This is a music that reviews you.,1
@corvo8015,2024-01-15T23:43:04Z,2024-01-15T23:43:04Z,2,Burial is like that 30 min walk from the party to your place at 2am on a wednesday,5
@bobaphet4125,2023-12-29T08:02:43Z,2023-12-29T08:02:43Z,0,To be honest it was really the first album/records that was the ‘aha’ moment but this one reached beyond bass listeners.,3
@nomad1517,2023-12-26T08:07:54Z,2023-12-26T08:07:54Z,0,"First time I heard that album I was learning about the dubstep scene in 2010. It was totally new to me. I had a friend of mine play me a couple of songs. I was raised with a lot of hard rock and metal like: Mudvayne, Nine Inch Nails, Rush, etc. I also knew some rap: Nas, Immortal Technique, Atmosphere, etc. So when I heard Burial, it was familiar to me because it had raw emotion that I was used to. So much passion. But I also could here the modern electronic aspects of things. I brought up the dubstep scene because everything was so screechy and punchy and robotic. But this was smooth, deep, emotional, melancholy. Not sad, but touching. Yet, you could dance to it if you were awake at 4am and couldn&#39;t sleep. The best way I could describe burials sound: Music to listen coming back from work late at night. It&#39;s got that feeling of being exhausted both mentally and physically. It&#39;s like taking a sonic Jacuzzi.",5
@50shadesofgayy,2023-11-13T18:50:11Z,2023-11-13T18:50:11Z,0,Ew shave your head melon,5
@abovescore_.,2023-10-25T19:52:55Z,2023-10-25T19:52:55Z,0,the constant rain is why british people produce the rhythms they so,4
@StudhouseK,2023-09-29T21:01:28Z,2023-09-29T21:01:36Z,0,"Simon Reynolds wrote a piece for Pitchfork in 2017 titled &#39;Why Burial’s Untrue Is the Most Important Electronic Album of the Century So Far&#39;. It&#39;s out of this fucking world. If like me you love this album, read that article.",5
@andishawjfac,2023-08-29T09:23:44Z,2023-08-29T09:23:43Z,0,"For those who haven&#39;t listened to Untrue on mushrooms, you are welcome.",5
@mynamesreed,2023-08-21T12:40:29Z,2023-08-21T12:40:29Z,0,everytime i listen to this album it feels like i’m on a nightbus,5
@sorcsapprentice,2023-08-05T05:28:35Z,2023-08-05T05:28:35Z,1,why does this nigga have hair,1
@bloxz2944,2023-07-18T18:22:14Z,2023-07-18T18:22:14Z,0,DUBSTEP NEVER DIES!,5
@mrsaturn4400,2023-07-07T20:07:22Z,2023-07-07T20:07:22Z,0,Omg he had hair,1
@projectnitefall8058,2023-07-05T19:58:22Z,2023-07-05T19:58:22Z,0,Im seriously impressed this guy made such amazing work under something like soundforge. I just cant imagine how long he spent  trying to perfect drums alone. Absolute legend.,5
@solossoo,2023-06-06T03:32:09Z,2023-06-06T03:32:09Z,0,The similarites of the soundspace of Burial - Untrue and the endless environments within Blame! are very parallel to each other. Sure it could sounds ethereal but I believe with the burialistic architecture and the vast distopia they both hold is something they both intertwine from one another,4
@nvoid2597,2023-03-14T12:19:09Z,2023-03-14T12:19:09Z,0,"Dude gets it, but he <i>doesn&#39;t really</i> get it.",3
@jujumama,2023-03-09T23:39:25Z,2023-03-09T23:39:25Z,0,I&#39;ve been obsessed with this album for around a year now. I knew Archangel and untrue a long time ago years but I never really listened to the whole entire thing till around a year ago I&#39;m still listening to it now and that&#39;s why I looked at this video now. I guess you do know good music 😊😉,1
@kitsch570,2023-02-07T23:58:08Z,2023-02-07T23:58:08Z,1,ITS UK *GARRIJ. Not garaaaaaash. Blasphemy.,1
@kitsch570,2023-02-07T23:56:33Z,2023-02-07T23:56:48Z,1,"Made on Soundforge ffs.<br><br>Its the best album of all time, unfortunately. Pack it up guys, we done completed the musics",3
@mathewmaccenzie5006,2023-01-26T13:55:02Z,2023-01-26T13:55:02Z,3,thats a lot of hair,3
@bigballsbigballsbigballs,2023-01-17T22:40:15Z,2023-01-17T22:40:15Z,5,Just listened to this album in full and wow it is amazing can&#39;t even pinpoint the emotion this album gives its just amazing,5
@machinicassemblage,2022-11-27T05:54:55Z,2022-11-27T19:34:41Z,0,this album gets me stoned,5
@bourdieufan7433,2022-10-26T04:59:47Z,2022-10-26T04:59:47Z,0,sometimes it’s ok just to say an album sounds cool,3
@zviwara,2022-10-24T10:17:27Z,2022-10-24T10:17:27Z,1,Really like his hair,4
@mickla787,2022-10-08T14:00:49Z,2022-10-08T14:00:49Z,0,Do Original Pirate Material!,1
@xXxGAYshaxXx,2022-10-04T06:38:26Z,2022-10-04T06:38:26Z,4,I like to come back to this video once in a while just to read appreciative comments for this masterpiece,5
@waltwhitman7545,2022-08-10T03:37:26Z,2022-08-10T03:37:26Z,1,last time he had hair?,1
@BloggerMusicMan,2022-07-21T13:38:00Z,2022-07-21T13:38:00Z,7,"This album really is special. It&#39;s not often you hear any kind of music, never mind electronic music, sound so human.",5
@user-cx6lt2ej4h,2022-06-17T12:21:31Z,2022-06-17T12:21:31Z,0,"Burial sucks, such as almost everything from underground electronic music. Too minimal, too boring, too repetitive, too ambient, too empty:  Trash music.<br>Only mainstream house, dance, and EDM music is great, OR oldskool rave early 90&#39;s, oldskool techno, 90&#39;s eurodance, and generally 90&#39;s commercial house/techno music which was great. Underground music always SUCKS&gt;",1
@festival3051,2022-06-15T14:45:07Z,2022-06-15T14:45:07Z,3,This album sums up a night out in the UK for sure.,5
@mantra1229,2022-05-12T03:51:07Z,2022-05-12T03:51:07Z,0,"If yall liked this record, I recommend having a look at Forss - Ecclesia",3
@suicideme,2022-04-26T16:18:06Z,2022-04-26T16:18:06Z,1,this man actually compared afx to burial 🙀🙀🙀,5
@maxwelllee6630,2022-04-22T19:44:56Z,2022-04-22T19:44:56Z,5,This album is PERFECT for a cloudy or rainy day. Really encapsulates the atmosphere of that kind of weather,5
