author,published_at,updated_at,like_count,text
@thelifebringers2215,2024-06-20T17:07:45Z,2024-06-20T17:07:45Z,0,looking at everything Kanye has done honestly lost it the day is mother passed away he hasnt had a black woman in his life to steer him in the right path its been getting worse and worst since then
@evilgoblinghoulofghilbertia,2024-06-20T08:21:10Z,2024-06-20T08:21:10Z,0,If it was called good kanye maad vultures it would be a 10
@bryanhacoheneng305,2024-06-20T05:56:13Z,2024-06-20T05:56:13Z,0,This &quot;unreviewable&quot; thing is just your woke agenda.
@ToneSoCooL3,2024-06-19T14:32:38Z,2024-06-19T14:32:38Z,0,You should review PORKFOOT - Nigerian Background Check
@nsbe,2024-06-19T13:21:31Z,2024-06-19T13:21:31Z,1,stfu its fire
@XclynHere,2024-06-19T13:11:34Z,2024-06-19T13:11:34Z,0,I can&#39;t believe a Frank Ocean fan would say that type of shit
@joshthemac,2024-06-18T20:52:47Z,2024-06-18T20:52:47Z,1,This is the album review equivalent of the worst she can say is no
@rubberchix,2024-06-18T09:40:39Z,2024-06-18T09:40:39Z,0,Crybaby
@smeagscientist,2024-06-17T08:25:42Z,2024-06-17T08:25:42Z,2,Melon on Youtube: This album is unreviewable<br><br>Melon on Twitter: Israel should not exist
@SteveTholomule.,2024-06-17T03:02:35Z,2024-06-17T03:02:35Z,0,I’m not gonna try to say that this album is good at all but saying it’s worse than jik is insane
@pac100,2024-06-17T02:51:45Z,2024-06-17T02:51:45Z,0,If it was called “To vulture a kanye” he would of gave it a 10
@Erik-bd6ll,2024-06-16T00:20:54Z,2024-06-16T00:20:54Z,1,Keep in mind this is the same guy that put sexy redds hoods hottest princess at an 8/10 so
@rubenvicente25,2024-06-15T22:46:29Z,2024-06-15T22:46:29Z,0,The fact that almost 50% of likes+dislikes are dislikes says it all
@Vetaa,2024-06-15T09:39:08Z,2024-06-15T09:39:08Z,0,Bro pretending not to like it because hes controversial
@negrosfinished,2024-06-15T04:40:13Z,2024-06-15T04:40:13Z,0,“You platformed a booger eating white supremacist”😂🔥
@tuxlgames9048,2024-06-14T16:26:40Z,2024-06-14T16:26:40Z,50,"People, hype passed. Fantano was right. Vultures is garbage."
@MuskeyIsntReal,2024-06-14T15:37:41Z,2024-06-14T15:37:41Z,1,he will say that this is garbage and unreviewable even tho it is at worst mid and he likes songs by sexyy red where she sounds awful and is rapping about getting drilled by tons of men and her genitals and people say it’s not biased
@worldcollapse,2024-06-14T07:12:48Z,2024-06-14T07:12:48Z,0,Stop trying to be Ye’s opp. He lives rent free in your head
@realdeal_ADL,2024-06-13T15:42:01Z,2024-06-13T15:42:01Z,11,If it was called “To Pimp a Vultures 1” he would’ve given it 12
@timothypolk9841,2024-06-13T07:37:37Z,2024-06-13T07:37:37Z,0,"This is stupid dude. Bowie literally had a fascist phase and we dont see any over serious sanitized white people condemning him. Politics is a show and unless youre writing a fully researched paper or trying to organize, it cant be anything other than a show thats meant to get people to like you. Dude is talking trash on this just to maintain the fanbase that pays his bills."
@isaacgriffee3095,2024-06-12T02:35:29Z,2024-06-12T02:35:29Z,1,you still left a review
@ventilation7414,2024-06-12T01:59:53Z,2024-06-12T01:59:53Z,8,Its sad but fantano is right
@Neffy1,2024-06-11T20:20:43Z,2024-06-11T20:20:43Z,5,Bro cooked
@inigoirisarri3349,2024-06-11T17:01:43Z,2024-06-11T17:04:40Z,0,"I personally am a fan of Kanye&#39;s MUSIC. I separate the music from the artist cause his morals are f*ed up by BPD, but the music he made is really good. The things he puts out lately are more mid but y&#39;know, I listen to the old stuff on replay.<br>&quot;I miss the old Kanye&quot; kinda thing. The new stuff is ass."
@Guavantamanolo,2024-06-11T04:10:42Z,2024-06-11T04:11:00Z,2,the hollywood drugs tweaked kanye out too much
@sugarhigh4242,2024-06-10T18:25:04Z,2024-06-10T18:25:04Z,2,Would&#39;ve been better off giving it a strong 6 to a light 7 and moving on. it has some good songs like BURN and DO IT.
@kubsons0732,2024-06-10T14:21:30Z,2024-06-10T14:21:39Z,11,Nah looking back i agree with melon this album ass
@MikeyMikei-yp4mi,2024-06-09T16:46:35Z,2024-06-09T16:46:35Z,1,Anthony is fine with Muslims and anti Israel musicians. What a beta.
@gustavoroehe8313,2024-06-09T15:05:53Z,2024-06-09T15:05:53Z,1,"Your point about Kanye’s fans and Kanye fandom is spot on. I was a huge Kanye fan since Graduation up until TLOP. After that, he had some good projects (KSG, Donda), but his music undeniably took a dive. But his spiraling into this lunatic persona was the final straw for me and for plenty of Kanye fans that kind of “came up” around the same time I did. Now, his fans are sycophants and edgelords who probably don’t even care for Hip Hop all that much. Honestly, I’m not surprised that the end of Kanye’s career is a train wreck. It feels weirdly “right”."
@bowling2463,2024-06-08T00:36:00Z,2024-06-08T00:36:00Z,3,"I’m sorry, but this album is catchy and I don’t care about the shit Ye says. He has good bars and I like it."
@semiconductor5,2024-06-07T18:28:58Z,2024-06-07T18:28:58Z,1,Bro you are just biased af
@lores1382,2024-06-06T12:47:50Z,2024-06-06T12:47:50Z,1,Bittersweettt its gonna be the death of me
@dsantanaFr,2024-06-05T22:17:04Z,2024-06-05T22:17:04Z,3,he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation he made graduation
@2YTtherapper,2024-06-05T09:08:45Z,2024-06-05T09:08:45Z,0,Please Anthony pleeease. Review wah gwan delilah. That shit has me confuse i need ur guidance
@jehhh7794,2024-06-04T16:44:02Z,2024-06-04T16:44:02Z,4,"Man i ain&#39;t the biggest Ye fan or a Ye hater but not giving this album a rating was lazy as hell. Personally didnt like the album, 3/10 for me. Give it a rating, if you don&#39;t like it give it a low rating. Disappointed"
@asdasd-hi3ll,2024-06-04T08:52:19Z,2024-06-04T08:52:19Z,10,At this point fantano is just fishing for reactions.
@user-gn1tt1oz2r,2024-06-03T20:24:30Z,2024-06-03T20:24:30Z,1,Vultures 1 is definitely his worst collab album and one of the weaker albums overall i pray that vultures 2 will be better if it even drops
@turbotreehouse9780,2024-06-03T20:11:38Z,2024-06-03T20:11:38Z,0,🙌🙌🙌🙌🙌🙌🙌🙌🙌🙌✊😁 great unreview
@cringemeat9430,2024-06-03T19:05:19Z,2024-06-03T19:05:19Z,4,How can you give this a worse rating than fucking sexxy redds shitty SoundCloud ass rap. Yeah this album isn’t good but you’re virtue signalling so hard
@bacn_,2024-06-02T23:50:44Z,2024-06-02T23:50:44Z,0,But he made XTCY 😭
@AyitSiemen-000,2024-06-02T20:28:49Z,2024-06-02T20:28:49Z,10,ANTHONY JEWTANO HERE
@machineheadslump,2024-06-01T16:38:38Z,2024-06-01T16:38:38Z,12,Very weird that you went from a edgy 4chan shitposter to paternalistic and holier than thou. Looking down your nose at kanye for his words and misogynyvwhile 36 chambers sits in the background is a dissonance few can achieve.  BRAVO THATISTHEPLAN
@HoodMan19,2024-06-01T11:00:38Z,2024-06-01T11:00:38Z,4,Kanye has always been garbage . He gets away with shit because he is black
@cosmix5188,2024-06-01T10:39:19Z,2024-06-01T10:39:19Z,0,i mean i like kanye but with some of the things hes said ita just not the same as he used to be
@noahlankford1,2024-05-31T16:37:42Z,2024-05-31T16:37:42Z,1,The irony of melon getting big from 4chan then hating that Kanye is acting like an average 4channer is painfully hilarious <br><br>I just know in my heart of hearts that if melons 4chan post history was ever somehow discovered it would probably be hilaruous in the context of this
@alphabeta2515,2024-05-31T13:00:21Z,2024-05-31T13:00:21Z,7,Never apologize to the far-right YouTube mob.
@alienstrike2222,2024-05-30T10:54:51Z,2024-05-30T10:54:51Z,1,This video is like the metaphorical nail in the coffin of Fantano’s reviewing “career”.
@SumeriyaYaxlaka,2024-05-30T09:57:14Z,2024-05-30T09:57:14Z,30,Comments asking if anthony is a Jew 💀💀
@rhombusted2798,2024-05-29T01:52:46Z,2024-05-29T01:52:46Z,147,Kanye’s career is a tragedy. It’s hard to listen to his classics without being reminded of his fall from grace
@anthonyvillalobos3892,2024-05-28T15:55:57Z,2024-05-28T15:55:57Z,1,This review is the only thing worse than the record
@angeIaorosco,2024-05-28T14:08:07Z,2024-05-28T14:08:07Z,2,yeah but reviewing burzum is okay
@xtra_krispy693,2024-05-27T13:49:09Z,2024-05-27T13:49:31Z,0,"Damn now i cant enjoy stars, burn and carnival because sexy melon man told me im not allowed😔"
@abysmalist4761,2024-05-26T17:32:51Z,2024-05-26T17:32:51Z,10,kanye dropping trash like his life depends on it
@fmga,2024-05-26T03:27:40Z,2024-05-26T03:27:40Z,11,If this album was called to pimp a vulture you’d’ve given it a 10
@ArminSemsar-og1ft,2024-05-24T18:44:03Z,2024-05-24T18:44:03Z,3,"Review the album, Anthony. That’s your job."
@blxxdcxrmxny,2024-05-24T18:16:23Z,2024-05-24T18:16:23Z,6,Ye&#39;s almost a lolcow at this point
@seanfrancis7101,2024-05-24T08:19:26Z,2024-05-24T08:19:26Z,0,So…how about that music review…..
@changowowowoezzy9617,2024-05-24T00:32:35Z,2024-05-24T00:32:35Z,28,Kanye turned into a 13 year old white kid from iowa
@PaulMcNevin,2024-05-23T14:21:58Z,2024-05-23T14:21:58Z,2,"Sounds a bit biased,<br>What is your religious background?<br>That mustache makes you looks like Adolf......"
@mantra1229,2024-05-23T03:34:05Z,2024-05-23T03:34:05Z,0,The best description/indictment I have seen of this record to date was a RYM review with &quot;migraine bars&quot;
@botero01,2024-05-21T23:46:25Z,2024-05-21T23:47:46Z,1,"I thought this channel was about music. Wagner was kind of anti-Semitic, does that mean his music shouldn´t be reviewed? There´s tons of hip-hop lyrics that are furiously idiotic and vulgar and whatever else."
@Adiityaa_,2024-05-21T03:16:07Z,2024-05-21T03:16:28Z,59,This review aged well i think after 3 months not even one song is in my rotation and every time I hear Go go go  it is an instant skip
@Buck_Bentley,2024-05-20T18:57:07Z,2024-05-20T18:57:07Z,0,✊🏻✊🏻✊🏻✊🏻
@ChomboKong123,2024-05-19T18:54:14Z,2024-05-19T18:54:14Z,7,"“Unreviewable” yet has positively rated neo nazis. Fantano you are a hypocrite, you let personality into reviews and don’t actually care about music. Reduxes for bad takes? Your career is a joke. Ye better"
@Duffyy1223,2024-05-19T12:06:37Z,2024-05-19T12:06:37Z,0,Nah that album is better than Donda&amp;Jesus is king
@bulb9970,2024-05-19T02:03:50Z,2024-05-19T02:03:50Z,7,Guy looks and acts like a soyboy
@Thisnotwitterfr,2024-05-18T23:54:20Z,2024-05-19T14:44:28Z,0,"If this album was called “To Not Review Vultures 1”, you still wouldn’t have reviewed it."
@Ok_mister_what_the_buns,2024-05-18T16:45:56Z,2024-05-18T16:45:56Z,3,If it was called “hoods hottest vulture” you would’ve given it an 8
@beinformed3607,2024-05-18T15:23:37Z,2024-05-18T15:23:37Z,1,"If you did not understand some of these things that Kanye said, you’re just as basic as anyone else. Or your trying to equate. Flock."
@beinformed3607,2024-05-18T15:20:51Z,2024-05-18T15:20:51Z,2,"Sounds 2 biased 4 me., because you lack depth to understand complex concepts and see through what he said. Your opinion is the same of a white 12 year old tiktoker girl. Sorry."
@jamesmercer848,2024-05-18T02:52:07Z,2024-05-18T02:52:07Z,167,It’s rough how Kanye albums are just manic episodes on vinyl now. Dude needs help but will probably never get it.
@GamingwithA1.,2024-05-17T02:59:04Z,2024-05-17T02:59:04Z,0,"&quot;I&#39;m the new Jesus, bitch, I turn water to crist&quot;, that one line rubbed me the wrong way the first time I heard it. I&#39;m talking I paused the song and stopped listening. I want to say I felt scared, but I don&#39;t think I was scared, it just felt wrong."
@cameronmerrill_,2024-05-16T21:45:55Z,2024-05-16T21:45:55Z,3,the biggest nazis were and are zionists
@jbc0909,2024-05-16T11:17:47Z,2024-05-16T11:17:47Z,0,this is the funniest watch of the year and i like the album/kanye
@Kendrick_Alvarez,2024-05-16T10:19:08Z,2024-05-16T10:19:08Z,0,Cry
@MrDumpitout,2024-05-15T23:08:12Z,2024-05-15T23:08:12Z,1,"As a long time fan I never put the time aside to listen to Donda, but by the time this album came out I just dont feel comfortable supporting someone who demonizes a whole people."
@missmypotato,2024-05-15T14:29:10Z,2024-05-15T14:29:10Z,2,"Putin &quot;fights nazis&quot; too, but in fact he just genocide ukrainians. Kanye reports his experience and you are mad about it."
@bushdid91195,2024-05-15T07:51:03Z,2024-05-15T07:51:03Z,8,"&quot;waaaah i can&#39;t critique the music because kanye is le bad&quot;<br><b>Proceeds to critique the music</b><br>Now add a rating and you&#39;re done, you insufferable whinging bald baby."
@NefariousTV,2024-05-15T05:03:04Z,2024-05-15T05:03:04Z,1,"Do people actually really respect this dudes music reviews still? The guy gave Take Me Back To Eden a 2/10... But for real, he has no ability to separate his dog water polics with music. That is the entire point of a music review... But ok...."
@kr1stinabee,2024-05-14T05:14:57Z,2024-05-14T05:15:20Z,2,"<a href=""https://www.youtube.com/watch?v=M0jEngxUFz4&amp;t=268"">4:28</a> none of this is new btw. <br><br>actual lyrics from Saint Pablo (2016)<br>Black on black lies is worse than black on black crime<br>The J/ews share their truth on how to make a dime"
@RecruitedAndrew,2024-05-13T20:00:57Z,2024-05-13T20:00:57Z,1,I like how at the time everyone hated on this review now many people sort of agree with it lmao
@levanceland,2024-05-13T12:49:22Z,2024-05-13T12:49:22Z,2,But how is he antisemitic...?
@jf47249,2024-05-13T10:43:44Z,2024-05-13T10:43:44Z,6,Fantano is the definition of a woke liberal beta male 😂
@GibberishExplained,2024-05-13T00:53:28Z,2024-05-13T00:53:28Z,1,If this was called hoods hottest vulture you would of given it a 10 smh rn
@silasmontgomery6541,2024-05-12T23:08:12Z,2024-05-12T23:08:12Z,0,"I mean do I think kanye should get away with what he said no, but do I forgive him, yes only because he&#39;s bipolar and when he doesn&#39;t take his pills he&#39;s gonna go bat shit crazy of course"
@realABN,2024-05-12T19:50:15Z,2024-05-12T19:50:15Z,3,You kinda look like Hitler
@sircart1er,2024-05-12T11:24:29Z,2024-05-12T11:24:29Z,0,"read this if you are interested about actual discussion and not side picking <br><br>while i do agree with some of the points he makes, he generalizes (ye fans) as being ignorant racists, thousands of ye fans condemn what he said and even some of his current actions, but still like to separate the music from the artist, people should be held accountable and ye is no exceptions. we hope he gets better<br><br>as for the music i think its good with some major fumbles like ye ruining back to me, the wierd bars on king, the chipmunk part of fuk sumn (and downgrading the beat from the leaked version + removing quavo), and his mumble verse on paid. and trash mixes on half the songs. but there are great beats and musical concepts on the album ie (beg forgiveness, talking, stars, back to me beat and performances except ye, fuk sumn , burn which js a great track although too short)<br><br>6/10 overall but 3/10 for ye standards"
@pxc0e96a1,2024-05-12T03:03:38Z,2024-05-12T03:03:38Z,2,unmarrigeable 1
@himej6shi,2024-05-12T00:19:44Z,2024-05-12T00:19:44Z,0,i kinda liked it
@DavianMendoza22,2024-05-11T19:03:43Z,2024-05-11T19:03:43Z,1,"I respect why he says that he can’t separate the art from the artist bc what he says is in his art therefore he won’t rate the album, but this dude literally rated bastard and goblin by Tyler the creator"
@theCGIANIMA,2024-05-10T22:15:12Z,2024-05-10T22:15:12Z,0,"Remember back when Ariel Pink and John Maus were at the White House, and then Ariel Pink appeared on Tucker Carlson and we all stopped listening to that shit? Yeah what the fuck is up with Kanye?"
@skunkwb,2024-05-10T18:22:24Z,2024-05-10T18:22:24Z,0,&quot;Beyond the Pale&quot; damn
@MadDogRyan,2024-05-10T16:38:23Z,2024-05-10T16:38:23Z,2,He apologized Johna Hill changed his mind
@SamBennett9910,2024-05-10T15:29:14Z,2024-05-10T15:29:14Z,2,shit gas tho
@vickymacsymic9261,2024-05-10T12:46:34Z,2024-05-10T12:46:34Z,1,"I agree with everything you said, except everything you said about hoodrat"
@quixotik1021,2024-05-10T01:10:39Z,2024-05-10T01:10:39Z,1,Kanye made a diss about famous Jewish rapper Drake 😔 he will never change…
@PeepGame101,2024-05-09T17:20:09Z,2024-05-09T17:20:09Z,0,How kanye anti semite he is damn ✡️ Free Larry
@baronvonbeandip,2024-05-09T15:02:13Z,2024-05-09T15:02:13Z,1,"Gender is the defining characteristic between a Kanye fan and a Drake fan. If you&#39;re an edgelord, you choose Kanye, if you&#39;re down bad, you choose Drake.<br><br>No matter the case, you are always 12."
@frostyfeet15,2024-05-08T20:35:44Z,2024-05-08T20:36:12Z,2,i haven&#39;t agreed with a lot of his takes of late but on this one i totally agree kanyes just a man child who acts out of pocket so that he can feel like hes standing out
@PuzzleFactoryProd,2024-05-08T20:21:21Z,2024-05-08T20:21:21Z,0,"4 types of fans. #4 is the people who are fans of the old kanye but don&#39;t agree with his current remarks, stances, or view on most things but just want him to get better 😔"
